bioguide_id,full_name,party,office,state,district,senate_class,state_rank,terms_served,years_served,start_date,end_date,first_name,middle_name,last_name,birthdate,gender,religion,thomas_id,govtrack_id,opensecrets_id,lis_id,votesmart_id,cspan_id,icpsr_id,fec_ids,latest_fec_id,updated_at
A000001,Fred George Aandahl,Republican,rep,ND,0,,,0,65.89,1951-01-03 00:00:00,1953-01-03 00:00:00,Fred,George,Aandahl,1897-04-09,M,,,400664,,,,,1,,,2016-11-08T05:25:34.057249
A000002,Watkins Moorman Abbitt,Democrat,rep,VA,4,,,22,67.79,1947-01-03 00:00:00,1973-01-03 00:00:00,Watkins,Moorman,Abbitt,1908-05-21,M,,,400665,,,,,2,,,2016-11-08T05:25:34.057249
A000003,Joel Abbott,Republican,rep,GA,-1,,,4,195.56,1817-12-01 00:00:00,1825-03-03 00:00:00,Joel,,Abbott,1776-03-17,M,,,400668,,,,,5,,,2016-11-08T05:25:34.057249
A000004,Amos Abbott,Whig,rep,MA,3,,,2,170.28,1843-12-04 00:00:00,1849-03-03 00:00:00,Amos,,Abbott,1786-09-10,M,,,400666,,,,,3,,,2016-11-08T05:25:34.057249
A000005,Jo Abbott,Democrat,rep,TX,6,,,6,124.75,1887-12-05 00:00:00,1897-03-03 00:00:00,Jo,,Abbott,1840-01-15,M,,,400667,,,,,4,,,2016-11-08T05:25:34.057249
A000006,Joseph Carter Abbott,Republican,sen,NC,,2,,0,148.95,1868-01-01 00:00:00,1871-03-03 00:00:00,Joseph,Carter,Abbott,1825-07-15,M,,,400669,,,,,6,,,2016-11-08T05:25:34.057249
A000007,Josiah Gardner Abbott,Democrat,rep,MA,4,,,0,141.02,1875-12-06 00:00:00,1877-03-03 00:00:00,Josiah,Gardner,Abbott,1814-11-01,M,,,400670,,,,,7,,,2016-11-08T05:25:34.057249
A000008,Nehemiah Abbott,Republican,rep,ME,3,,,0,159.03,1857-12-07 00:00:00,1859-03-03 00:00:00,Nehemiah,,Abbott,1804-03-29,M,,,400671,,,,,8,,,2016-11-08T05:25:34.057249
A000009,James Abdnor,Republican,sen,SD,,3,,6,41.84,1973-01-03 00:00:00,1987-01-03 00:00:00,James,,Abdnor,1923-02-13,M,,00001,400672,,,,,14000,,,2016-11-08T05:25:34.057249
A000010,Hazel Hempel Abel,Republican,sen,NE,,2,,0,62.9,1954-01-01 00:00:00,1955-01-03 00:00:00,Hazel,Hempel,Abel,1888-07-10,F,,,400673,,,,,9,,,2016-11-08T05:25:34.057249
A000011,Homer E. Abele,Republican,rep,OH,10,,,0,53.87,1963-01-09 00:00:00,1965-01-03 00:00:00,Homer,E.,Abele,1916-11-21,M,,,400674,,,,,10568,,,2016-11-08T05:25:34.057249
A000012,James Abercrombie,Whig,rep,AL,2,,,0,163.04,1851-12-01 00:00:00,1855-03-03 00:00:00,James,,Abercrombie,,M,,,400675,,,,,10,,,2016-11-08T05:25:34.057249
A000013,John William Abercrombie,Democrat,rep,AL,-1,,,0,100.99,1913-04-07 00:00:00,1917-03-03 00:00:00,John,William,Abercrombie,1866-05-17,M,,,400676,,,,,11,,,2016-11-08T05:25:34.057249
A000014,Neil Abercrombie,Democrat,rep,HI,1,,,18,25.81,1985-01-03 00:00:00,2010-03-01 00:00:00,Neil,,Abercrombie,1938-06-26,M,,00002,400001,N00007665,,26827,,15245,H6HI01121,H6HI01121,2016-11-08T05:25:34.057249
A000015,Charles Laban Abernethy,Democrat,rep,NC,3,,,10,91.23,1921-04-11 00:00:00,1935-01-03 00:00:00,Charles,Laban,Abernethy,1872-03-18,M,,,400677,,,,,12,,,2016-11-08T05:25:34.057249
A000016,Thomas Gerstle Abernethy,Democrat,rep,MS,1,,,26,71.79,1943-01-06 00:00:00,1973-01-03 00:00:00,Thomas,Gerstle,Abernethy,1903-05-16,M,,,400678,,,,,13,,,2016-11-08T05:25:34.057249
A000017,James George Abourezk,Democrat,sen,SD,,2,,0,43.88,1971-01-21 00:00:00,1979-01-03 00:00:00,James,George,Abourezk,1931-02-24,M,,01268,400679,,,,,13000,,,2016-11-08T05:25:34.057249
A000018,Bella Savitzky Abzug,Democrat,rep,NY,20,,,2,43.8,1971-01-21 00:00:00,1977-01-03 00:00:00,Bella,Savitzky,Abzug,1920-07-24,F,,00003,400680,,,,,13001,,,2016-11-08T05:25:34.057249
A000019,Ernest Francis Acheson,Republican,rep,PA,24,,,10,116.04,1895-12-02 00:00:00,1909-03-03 00:00:00,Ernest,Francis,Acheson,1855-09-19,M,,,400681,,,,,14,,,2016-11-08T05:25:34.057249
A000020,Ephraim Leister Acker,Democrat,rep,PA,6,,,0,145.78,1871-03-04 00:00:00,1873-03-03 00:00:00,Ephraim,Leister,Acker,1827-01-11,M,,,400682,,,,,15,,,2016-11-08T05:25:34.057249
A000021,Ernest Robinson Ackerman,Republican,rep,NJ,5,,,10,92.4,1919-05-19 00:00:00,1933-03-03 00:00:00,Ernest,Robinson,Ackerman,1863-06-17,M,,,400683,,,,,16,,,2016-11-08T05:25:34.057249
A000022,Gary L. Ackerman,Democrat,rep,NY,5,,,26,31.81,1983-01-03 00:00:00,2013-01-03 00:00:00,Gary,L.,Ackerman,1942-11-19,M,Jewish,00004,400003,N00001143,,26970,1002061,15000,H4NY07011,H4NY07011,2016-11-08T05:25:34.057249
A000023,Joseph Hayes Acklen,Democrat,rep,LA,3,,,0,137.74,1877-10-15 00:00:00,1881-03-03 00:00:00,Joseph,Hayes,Acklen,1850-05-20,M,,,400684,,,,,17,,,2016-11-08T05:25:34.057249
A000024,Edwin Ross Adair,Republican,rep,IN,4,,,16,63.85,1951-01-03 00:00:00,1971-01-03 00:00:00,Edwin,Ross,Adair,1907-12-14,M,,,400685,,,,,18,,,2016-11-08T05:25:34.057249
A000025,Jackson Leroy Adair,Democrat,rep,IL,15,,,0,81.9,1933-03-09 00:00:00,1937-01-03 00:00:00,Jackson,Leroy,Adair,1887-02-23,M,,,400686,,,,,19,,,2016-11-08T05:25:34.057249
A000026,John Adair,Jackson,rep,KY,7,,,0,185.05,1805-12-02 00:00:00,1833-03-03 00:00:00,John,,Adair,1757-01-09,M,,,400687,,,,,20,,,2016-11-08T05:25:34.057249
A000027,John Alfred McDowell Adair,Democrat,rep,IN,8,,,6,106.13,1907-12-02 00:00:00,1917-03-03 00:00:00,John,Alfred McDowell,Adair,1864-12-22,M,,,400688,,,,,21,,,2016-11-08T05:25:34.057249
A000028,Alva Blanchard Adams,Democrat,sen,CO,,3,,2,79.15,1923-12-03 00:00:00,1941-12-31 00:00:00,Alva,Blanchard,Adams,1875-10-29,M,,,400689,,,,,22,,,2016-11-08T05:25:34.057249
A000030,Benjamin Adams,Federalist,rep,MA,11,,,2,198.3,1815-12-04 00:00:00,1821-03-03 00:00:00,Benjamin,,Adams,1764-12-16,M,,,400691,,,,,24,,,2016-11-08T05:25:34.057249
A000031,Brockman Adams,Democrat,sen,WA,,3,,12,41.77,1965-01-04 00:00:00,1993-01-03 00:00:00,Brockman,,Adams,1927-01-13,M,,00005,400692,,S180,,,10700,,,2016-11-08T05:25:34.057249
A000032,Charles Francis Adams,Republican,rep,MA,3,,,0,155.45,1859-12-05 00:00:00,1863-03-03 00:00:00,Charles,Francis,Adams,1807-08-18,M,,,400693,,,,,25,,,2016-11-08T05:25:34.057249
A000033,Charles Henry Adams,Republican,rep,NY,16,,,0,141.02,1875-12-06 00:00:00,1877-03-03 00:00:00,Charles,Henry,Adams,1824-04-10,M,,,400694,,,,,26,,,2016-11-08T05:25:34.057249
A000034,George Everett Adams,Republican,rep,IL,4,,,4,129.5,1883-12-03 00:00:00,1891-03-03 00:00:00,George,Everett,Adams,1840-06-18,M,,,400695,,,,,27,,,2016-11-08T05:25:34.057249
A000035,George Madison Adams,Democrat,rep,KY,9,,,4,147.03,1867-03-04 00:00:00,1875-03-03 00:00:00,George,Madison,Adams,1837-12-20,M,,,400696,,,,,28,,,2016-11-08T05:25:34.057249
A000036,Green Adams,Ind. Republican-Democrat,rep,KY,6,,,0,157.03,1847-12-06 00:00:00,1861-03-03 00:00:00,Green,,Adams,1812-08-20,M,,,400697,,,,,29,,,2016-11-08T05:25:34.057249
A000037,Henry Cullen Adams,Republican,rep,WI,2,,,0,111.01,1903-11-09 00:00:00,1907-03-03 00:00:00,Henry,Cullen,Adams,1850-11-28,M,,,400698,,,,,30,,,2016-11-08T05:25:34.057249
A000038,John Adams,Jackson,rep,NY,8,,,0,183.06,1815-12-04 00:00:00,1835-03-03 00:00:00,John,,Adams,1778-08-26,M,,,400700,,,,,32,,,2016-11-08T05:25:34.057249
A000040,John Joseph Adams,Democrat,rep,NY,7,,,0,131.01,1883-12-03 00:00:00,1887-03-03 00:00:00,John,Joseph,Adams,1848-09-16,M,,,400701,,,,,33,,,2016-11-08T05:25:34.057249
A000041,John Quincy Adams,Whig,rep,MA,8,,,16,183.9,1803-10-17 00:00:00,1849-03-03 00:00:00,John,Quincy,Adams,1767-07-11,M,,,400702,,,,,34,,,2016-11-08T05:25:34.057249
A000042,Parmenio Adams,Adams,rep,NY,29,,,0,191.05,1823-12-01 00:00:00,1827-03-03 00:00:00,Parmenio,,Adams,1776-09-09,M,,,400703,,,,,35,,,2016-11-08T05:25:34.057249
A000043,Robert Huntington Adams,Jackson,sen,MS,,2,,0,186.98,1830-01-01 00:00:00,1831-03-03 00:00:00,Robert,Huntington,Adams,,M,,,400704,,,,,37,,,2016-11-08T05:25:34.057249
A000044,Robert Adams,Republican,rep,PA,2,,,10,118.29,1893-08-07 00:00:00,1907-03-03 00:00:00,Robert,,Adams,1849-02-26,M,,,400705,,,,,36,,,2016-11-08T05:25:34.057249
A000046,Sherman Adams,Republican,rep,NH,2,,,0,71.9,1945-01-03 00:00:00,1947-01-03 00:00:00,Sherman,,Adams,1899-01-08,M,,,400707,,,,,39,,,2016-11-08T05:25:34.057249
A000047,Silas Adams,Republican,rep,KY,11,,,0,123.34,1893-08-07 00:00:00,1895-03-03 00:00:00,Silas,,Adams,1839-02-09,M,,,400708,,,,,40,,,2016-11-08T05:25:34.057249
A000048,Stephen Adams,Democrat,sen,MS,,1,,0,164.96,1845-12-01 00:00:00,1857-03-03 00:00:00,Stephen,,Adams,1807-10-17,M,,,400709,,,,,41,,,2016-11-08T05:25:34.057249
A000050,Wilbur Louis Adams,Democrat,rep,DE,0,,,0,83.73,1933-03-09 00:00:00,1935-01-03 00:00:00,Wilbur,Louis,Adams,1884-10-23,M,,,400711,,,,,43,,,2016-11-08T05:25:34.057249
A000051,William Charles Adamson,Democrat,rep,GA,4,,,18,113.73,1897-03-15 00:00:00,1919-03-03 00:00:00,William,Charles,Adamson,1854-08-13,M,,,400712,,,,,44,,,2016-11-08T05:25:34.057249
A000052,Joseph Patrick Addabbo,Democrat,rep,NY,6,,,22,53.72,1961-01-03 00:00:00,1987-01-03 00:00:00,Joseph,Patrick,Addabbo,1925-03-17,M,,00006,400713,,,,,10500,,,2016-11-08T05:25:34.057249
A000053,William Addams,Jackson,rep,PA,7,,,0,189.06,1825-12-05 00:00:00,1829-03-03 00:00:00,William,,Addams,1777-04-11,M,,,400714,,,,,45,,,2016-11-08T05:25:34.057249
A000054,Hugh Joseph Addonizio,Democrat,rep,NJ,11,,,10,65.88,1949-01-03 00:00:00,1963-01-03 00:00:00,Hugh,Joseph,Addonizio,1914-01-31,M,,,400715,,,,,46,,,2016-11-08T05:25:34.057249
A000055,Robert B. Aderholt,Republican,rep,AL,4,,,16,17.8,1997-01-07 00:00:00,2017-01-03 00:00:00,Robert,B.,Aderholt,1965-07-22,M,Protestant,01460,400004,N00003028,,441,45516,29701,H6AL04098,H6AL04098,2016-11-08T05:25:34.057249
