state,year,d,r,winner,margin_of_victory
Alabama,2012,38,61,R,23
Alaska,2012,42,55,R,13
Arizona,2012,44,55,R,11
Arkansas,2012,37,60,R,23
California,2012,59,39,D,20
Colorado,2012,51,47,D,4
Connecticut,2012,58,41,D,17
D.C.,2012,91,7,D,84
Delaware,2012,59,40,D,19
Florida,2012,50,49,D,1
Georgia,2012,45,53,R,8
Hawaii,2012,71,28,D,43
Idaho,2012,32,66,R,34
Illinois,2012,57,41,D,16
Indiana,2012,44,54,R,10
Iowa,2012,52,47,D,5
Kansas,2012,38,60,R,22
Kentucky,2012,38,61,R,23
Louisiana,2012,40,59,R,19
Maine,2012,56,40,D,16
Maryland,2012,61,37,D,24
Massachusetts,2012,61,38,D,23
Michigan,2012,54,46,D,8
Minnesota,2012,53,45,D,8
Mississippi,2012,44,55,R,11
Missouri,2012,44,54,R,10
Montana,2012,42,56,R,14
Nebraska,2012,38,61,R,23
Nevada,2012,52,46,D,6
New Hampshire,2012,52,47,D,5
New Jersey,2012,58,41,D,17
New Mexico,2012,53,43,D,10
New York,2012,63,36,D,27
North Carolina,2012,48,51,R,3
North Dakota,2012,39,59,R,20
Ohio,2012,50,48,D,2
Oklahoma,2012,33,67,R,34
Oregon,2012,54,44,D,10
Pennsylvania,2012,52,47,D,5
Rhode Island,2012,63,35,D,28
South Carolina,2012,44,55,R,11
South Dakota,2012,40,58,R,18
Tennessee,2012,39,60,R,21
Texas,2012,41,57,R,16
Utah,2012,25,73,R,48
Vermont,2012,67,31,D,36
Virginia,2012,51,48,D,3
Washington,2012,55,43,D,12
West Virginia,2012,36,62,R,26
Wisconsin,2012,53,46,D,7
Wyoming,2012,28,69,R,41
Alabama,2008,39,60,R,21
Alaska,2008,38,59,R,21
Arizona,2008,45,54,R,9
Arkansas,2008,39,59,R,20
California,2008,61,37,D,24
Colorado,2008,54,45,D,9
Connecticut,2008,61,38,D,23
D.C.,2008,62,37,D,25
Delaware,2008,92,7,D,85
Florida,2008,51,48,D,3
Georgia,2008,47,52,R,5
Hawaii,2008,72,27,D,45
Idaho,2008,36,62,R,26
Illinois,2008,62,37,D,25
Indiana,2008,50,49,D,1
Iowa,2008,54,44,D,10
Kansas,2008,42,57,R,15
Kentucky,2008,41,57,R,16
Louisiana,2008,40,59,R,19
