ID,Hashtag
795534370119491584,dncleak2
795531823761723392,draintheswamp
795302814998261760,uva
795281164990902272,austyncrites
795281164990902272,reno
795281087354310657,wikileaks
795281087354310657,hillbully
795281062121340929,trump
795280961604816898,maga
795123788631470080,rememberwhentrump
795123788631470080,spiritcooking
795123717743509505,spiritcooking
795123551388991488,spiritcooking
795123396333998080,spiritcooking
794921558628331521,vid
794921558628331521,annfans
794921558628331521,annthusiasts
794921558628331521,trump
794921558628331521,election
794921340910399490,extratv
794921226644914176,fyi
794921226644914176,coulterradarservice
794921226644914176,jerseyannfans
794921226644914176,nyannfans
794919861218672640,caring
794919679223599104,caring
794636400738103296,maga
794636400738103296,maga3x
794635650872053761,spiritcooking
794635519418310656,spiritcooking
794631972756844545,spiritcooking
794631944415932421,spiritcooking
794631798349320193,spiritcooking
794631686227185664,spiritcooking
794631650579771392,spiritcooking
794631420878721024,spiritcooking
794631326343299072,spiritcooking
794631291748712448,spiritcooking
794631037968060416,spiritcooking
794631003520299008,spiritcooking
794630867608080386,spiritcooking
794629548696621065,bernieandsidshow
794629453326467072,excellent
794629142503424000,excellentstuff
794629142503424000,trump
794590829344133128,spiritcooking
794380594385981440,blacklivesmatter
794380594385981440,hillary
794380594385981440,soros
794374348622675970,proudboys
794370338926764032,hannityradio
794370321075896320,hannityradio
794369594953711620,nationalauthorsday
794369594953711620,godless
794369594953711620,book
794369594953711620,love
794369594953711620,books
794367844435771399,didyouknow
794184032997220352,podestaemails
794184032967921664,voterfraud
794164976613261312,clinton
794164976613261312,wikileaks
794164976613261312,hillaryclinton
794164976613261312,trump
794020564390334464,werewithhim
793636650878439425,draintheswamp
793636650878439425,maga
793591083603259392,iphone
793591083603259392,trump
793591083603259392,eauclaire
793591083603259392,wisconsin
793590576104996864,chaldeans
793174256641245185,hillaryforprison
793172830275903488,cnncheated
792913897011417088,trump
792913897011417088,lasvegas
792913826513612800,trump
792913826513612800,colorado
792490128526700544,maga
792490128526700544,trumptrain
792490058028879872,hillarysemail
792467320534958084,crookedhillary
792467320534958084,draftourdaughters
792262810612953088,abq
792262344671916032,dieforher
792262344671916032,draftourdaughters
792262038240256001,halloween2016
792101727860318208,fbifriday
791871861227417600,refugeesnotwelcome
791871336536760320,riggedelection
791749550541303812,hillary2016
791749550541303812,draintheswamp
791491074657284096,yaass
791491074657284096,annfans
791491074657284096,coulterqanda
791491074657284096,trump
791488311030341632,weho
791487904514207744,vote
791487904514207744,earlyvoting
791487904514207744,florida
791485842866966528,hillarysbullies
791485780568993792,votetrump2016
791485659605307392,hillary
791485434719264768,randyquaid
791484965028564993,hillarysbullies
791484914403315712,icymi
791137285186215937,coultergear
791137156706230272,reminder
791128929050460160,veritas
791122390210207744,hcr
791044036836495360,maga
790961288478388226,democrats
790960939738730496,obamacarefail
790537261204942848,diaryofamadvoter
789959948776071168,electionfraud
789950464053743616,lawandorder
789950464053743616,draintheswamp
789950464053743616,gettysburg
789950464053743616,gettysburgaddress
789950464053743616,battlecry
789910834889822208,trivia
789910806871810049,coulter
789910806871810049,cpac
789910716237156352,instudio
789909865808457728,podestaemails
789174389254205440,debatenight
789156351733825536,catholic
789156351733825536,election2016
789149502519279616,voterfraud
788934776686247937,debatenight
788925573951348737,debatenight
788925450840055808,trump
788925450840055808,debatenight
788629087862620160,clintoncrimes
788601586725613569,wearethemedia
788601409667203072,trump
788601381271855104,feelthebern
788601381271855104,draintheswamp
788600994938679297,podestaemails
788600387054006272,voterfraud
788600387054006272,draintheswamp
788475652479520769,hidinginplainsight
788261436120264704,thefive
788261358672412672,billybushmademedoit
788260820094509056,anonymous
788260381034774528,progressives
788260381034774528,pedophilia
788259543318929408,hannity
788237209526730752,hillarybecause
788237209526730752,hillary
788237209526730752,clinton
788237209526730752,blacklives
788237209526730752,blackvotes
787818561024643072,cathyheller
787818488022773760,podestaemails9
787818241770913792,podestaemails9
787814322072276994,maga
787814322072276994,tcot
787809399842615297,thingstrumpclaimsrigged
787809399842615297,lgbt
787747250717855744,snl
787746703814242304,dtmag
787745144711712768,trump
787744955179474944,hillarybecause
