ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
196168350,2010-09-28 14:04:51 +0000,2016-11-07 07:57:23 +0000,22312,18,10241,634,1061719,AnnCoulter,Ann Coulter,true,false,Author - follow me on #Facebook! http://t.co/i7VTQ5btPI Disregard my earlier claims that I'd never be on Facebook.,RT @DailyCaller: Leaked: DNC Wanted To Silence Joe Scarborough By Complaining To MSNBC https://t.co/Uuk8HNBCYT https://t.co/azjF5Syo4N,Los Angeles/NYC,http://www.anncoulter.com
18646108,2009-01-05 21:05:43 +0000,2016-11-07 00:48:32 +0000,44204,1539,7775,6652,857942,BretBaier,Bret Baier,true,false,Bret Baier is the Chief Political Anchor for @FoxNews & Anchor & Executive Editor of @SpecialReport with Bret Baier. Bret's book #SpecialHeart is a bestseller.,Thanks for talking to us Kevin - nice to meet you too.   @instagram https://t.co/FSsvHJ4C7W,"Washington, DC",http://www.bretbaier.com
42995067,2009-05-27 23:33:11 +0000,2016-11-07 04:25:39 +0000,5607,157,1384,947,64050,brianefallon,Brian Fallon,true,false,"Press secretary for @HillaryClinton for America. Formerly @TheJusticeDept and @ChuckSchumer spokesman. Brooklyn, NY/Washington, D.C.","It's going to be the most amazing field team ever. And Mexico is going to pay for it
https://t.co/H5GGRI97gx",,http://hillaryclinton.com
14515799,2008-04-24 18:41:42 +0000,2016-11-07 10:22:14 +0000,119369,139801,10790,5063,401028,brianstelter,Brian Stelter,true,false,"CNN's host of @ReliableSources and senior media correspondent. Formerly @nytimes, @tvnewser and Top of the Morning. Email: bstelter@gmail.com",RT @Phil_Mattingly: we're on like day 3 of POTUS baiting Trump repeatedly and Trump (for the most part) not biting. We'll see if it hol… https://t.co/oCOAcSfDxc,New York City,http://www.brianstelter.com/
22799750,2009-03-04 17:02:09 +0000,2016-11-07 09:56:56 +0000,60582,15603,4728,1088,1147611,ChrisCuomo,Christopher C. Cuomo,true,false,facebook: chris cuomo Instagram: chrisccuomo,On bended knee...uno mas https://t.co/ptWIHtE4I8,wherever I need to be,http://ChrisCuomo.com
4121225056,2015-11-05 18:19:17 +0000,2016-11-07 03:53:34 +0000,901,57,1257,56,147369,CLewandowski_,Corey R. Lewandowski,true,false,CNN Political Commentator and former Campaign Manager for Donald J. Trump for President. #MakeAmericaGreatAgain #Trump2016,Chelsea's husband allegedly used foundation ties to boost hedge fund https://t.co/kMayqg2ht1 https://t.co/PpRXw5gYlv,"Manhattan, NY",http://www.DonaldJTrump.com
124763921,2010-03-20 13:47:14 +0000,2016-11-07 04:04:45 +0000,18024,1303,470,1948,19733,creynoldsnc,Christina Reynolds,false,false,Deputy Comm Director for Hillary for America. Tar Heel. Marine brat. Just waiting for the next basketball season. Opinions are my own.,"Our candidate is pretty great, y'all https://t.co/ePGTxO8PVJ","Brooklyn, NY",http://hillaryclinton.com
244655353,2011-01-29 20:34:55 +0000,2016-11-06 21:29:40 +0000,5759,59,8165,432,518350,davidaxelrod,David Axelrod,true,false,"Director, UChicago Institute of Politics. Senior Political Commentator @CNN. Host, The Axe Files, https://t.co/ywGSG0Wsi8. Views expressed here are my own.","Whoa, @KellyannePolls.  Your candidate &amp; team brutally savaged Comey and @FBI from July to late October.  You have… https://t.co/OWzYzS4Jzw",,
2285311688,2014-01-10 16:05:40 +0000,2016-11-05 16:02:01 +0000,2769,34,414,145,12534,davidbrockdc,David Brock,true,false,Journalist. Author. Democratic political activist. RTs ≠ endorsements. Opinions are my own.,"Fox lies, #Trump amplifies — further proof that @FoxNews is a media arm of the Trump campaign. https://t.co/kjE19UMsH5","Washington, DC",http://killingthemessenger.com
39344374,2009-05-11 21:18:33 +0000,2016-11-07 05:03:47 +0000,17145,5460,4201,1055,766273,DonaldJTrumpJr,Donald Trump Jr.,true,false,EVP of Development & Acquisitions Trump Organization and Boardroom Advisor on the Apprentice.,RT @TwitchyTeam: Sunday night news dump: WikiLeaks releases #DNCLeaks2 and CNN is in the crosshairs https://t.co/TSB0Wo6dFM,,http://Trump.com
357606935,2011-08-18 16:43:48 +0000,2016-11-05 17:55:44 +0000,1680,0,6962,298,816651,elizabethforma,Elizabeth Warren,true,false,United States Senator from Massachusetts.,"Fantastic day in Concord, NH with @JeanneShaheen, @McGovernMA &amp; a whole lotta people ready to go knock on doors!… https://t.co/3uF2V4nltY",Massachusetts,http://ElizabethWarren.com/
39349894,2009-05-11 21:42:30 +0000,2016-11-07 04:56:09 +0000,4616,4034,2530,472,554607,EricTrump,Eric Trump,true,false,EVP of Development & Acquisitions. The #Trump Organization. Boardroom & Task Advisor @ApprenticeNBC. Founder of @EricTrumpFDN benefiting @StJude. #Trump2016,RT @EricTrump: The American Comeback Story! This video is absolutely incredible and is the father I know!  https://t.co/J5U8uODrT2,,http://www.erictrumpfoundation.com
240454812,2011-01-19 23:53:00 +0000,2016-11-07 03:07:59 +0000,1746,278,500,2192,56163,GenFlynn,General Flynn,true,false,Believe in #AmericanExceptionalism -- it's for real. NYT bestselling author @fieldoffight I stand for American principles & values.,"When the going gets tough, the tough get going. Everyone needs to stay steady. We are going to win. Focus, vote and remember, let's #MAGA3X",GLOBAL,http://www.michaeltflynn.com
