EncampmentID,CNN,XCoord,YCoord,Lat,Lon,AddressNo,Street,CrossStreet,CrossStreet2,Location_description,Location_Type,Created_DateTime
11,2477000,6012469.8674,2100960.91099,37.749540661241,-122.3996735296,,CESAR CHAVEZ ST,EVANS AVE,KANSAS ST,south side next to street light,1,2016-03-15T15:20:48.843000
12,24219000,6009118.93251,2108004.27226,37.768692767439,-122.4117588298,,DIVISION ST,FLORIDA ST \ TREAT AVE,,10 tents a log East side of wall. Approx 15 - 20 residents in encampment. p,1,2016-03-23T08:38:05.303000
14,25304000,6006521.77197,2117326.74475,37.794143966643,-122.4214043558,,JACKSON ST,POLK ST,,on private property ,3,2016-03-23T20:51:44.510000
16,6737000,6008882.13763,2108672.85134,37.77051524328,-122.4126251572,,HARRISON ST,11TH ST,NORFOLK ST,8 tents 5 on the Harrison Street by 11th street and 3 on 12th street.,1,2016-04-09T15:13:07.677000
17,24138000,6008067.98903,2106795.45531,37.765314625636,-122.4153083882,,16TH ST,FOLSOM ST,,Consistent encampment site. Hotspot Crew cleans up here on a regular basis.,1,2016-04-09T15:22:52.827000
18,24141000,6007755.63496,2106778.12486,37.765249480191,-122.416387523,,16TH ST,SHOTWELL ST,,Needs to downsize.,1,2016-04-09T15:36:22.820000
19,11832000,6007704.21063,2107661.23657,37.767671406631,-122.4166279527,,SHOTWELL ST,14TH ST,15TH ST,Alongside wall of Foods Co.,1,2016-04-09T15:45:55.063000
20,52252000,6011432.80338,2100978.24637,37.749530395717,-122.4032609687,,CESAR CHAVEZ ST,HWY 101 N ON RAMP,,Huge encampment with several diferent sections sprawled underneath freeway ,4,2016-04-11T13:17:14.357000
24,8989000,6012073.02503,2111377.35491,37.77811976003,-122.4017779202,,MERLIN ST,HARRISON ST,END,Regular encampment location. on Hotspot Crew regular route.,1,2016-04-14T11:08:19.397000
25,23791000,6013045.8256,2108051.2851,37.769041364281,-122.3981792182,,07TH ST,HOOPER ST,,Tents and structures along dance like on 7th street.,1,2016-04-14T11:31:02.867000
26,23860000,6011943.69049,2108069.3285,37.769029456797,-122.4019927271,,BERRY ST,DE HARO ST,,By Recologybuilding,1,2016-04-14T11:57:47.730000
27,10360000,6013199.10228,2112491.23484,37.781240996257,-122.3979605442,,PERRY ST,03RD ST,04TH ST,Location recently cleaned and downsized by Hotspot Crew and SfPD,1,2016-04-15T11:11:51.073000
28,25853000,6006028.98724,2109124.59843,37.771595089791,-122.4225263445,,MCCOPPIN ST,VALENCIA ST,,McCoppin Hub - Homeless individuals congregate o. a regular basis.,,2016-04-15T11:52:34.463000
29,2477000,6012469.8674,2100960.91099,37.749540661241,-122.3996735296,,CESAR CHAVEZ ST,EVANS AVE,KANSAS ST,,1,2016-04-18T11:49:48.383000
30,419000,6012333.79308,2107482.5603,37.76744008798,-122.4006021534,,08TH ST,15TH ST \ CAROLINA ST,HOOPER ST,Large sidewalk encampment consisting mainly of persons from San Bruno Stree,1,2016-04-18T13:59:29.837000
