Date,Lobbyist,Lobbyist_Firm,Amount,Lobbyist_Client
07/31/2014,"Symonds, Stephen","Pershing Square Capital Management, L.p.",$618.29,"Pershing Square Capital Management, L.p."
12/31/2011,"Smith, Alexis",Barbary Coast Consulting,$9631.25,Orange Barrel Media
11/30/2011,"Smith, Alexis",Barbary Coast Consulting,$12118.75,Orange Barrel Media
08/31/2011,"Smith, Alexis",Barbary Coast Consulting,$5206.25,Orange Barrel Media
07/31/2011,"Smith, Alexis",Barbary Coast Consulting,$11106.25,Orange Barrel Media
07/17/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$57.69,Ubs Global Asset Management (Americas) Inc.
06/15/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$115.39,Ubs Global Asset Management (Americas) Inc.
06/16/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$537.84,Ubs Global Asset Management (Americas) Inc.
05/05/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$115.38,Ubs Global Asset Management (Americas) Inc.
05/07/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$115.38,Ubs Global Asset Management (Americas) Inc.
04/14/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$923.08,Ubs Global Asset Management (Americas) Inc.
03/26/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$115.38,Ubs Global Asset Management (Americas) Inc.
04/28/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$86.54,Ubs Global Asset Management (Americas) Inc.
02/04/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$969.62,Ubs Global Asset Management (Americas) Inc.
01/07/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$108.17,Ubs Global Asset Management (Americas) Inc.
01/16/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$216.35,Ubs Global Asset Management (Americas) Inc.
01/18/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$108.17,Ubs Global Asset Management (Americas) Inc.
05/31/2012,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$86.54,Ubs Global Asset Management (Americas) Inc.
04/30/2012,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$86.54,Ubs Global Asset Management (Americas) Inc.
01/31/2012,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$43.27,Ubs Global Asset Management (Americas) Inc.
12/31/2011,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$259.62,Ubs Global Asset Management (Americas) Inc.
10/31/2011,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,$692.31,Ubs Global Asset Management (Americas) Inc.
10/31/2013,"Alberti, Adam","Singer Associates, Inc.",$183.75,Sims Metal Management
09/30/2013,"Alberti, Adam","Singer Associates, Inc.",$183.75,Sims Metal Management
08/29/2013,"Alberti, Adam","Singer Associates, Inc.",$1035.63,Four Seasons Residences
07/31/2013,"Alberti, Adam","Singer Associates, Inc.",$24581.04,Four Seasons Residences
06/30/2013,"Alberti, Adam","Singer Associates, Inc.",$10603.85,Four Seasons Residences
04/01/2010,"Alberti, Adam","Singer Associates, Inc.",$16542.68,Bay To Breakers
04/30/2010,"Alberti, Adam","Singer Associates, Inc.",$10014.91,Hotel Council Of San Francisco
05/31/2010,"Alberti, Adam","Singer Associates, Inc.",$10010.41,Hotel Council Of San Francisco
06/30/2010,"Alberti, Adam","Singer Associates, Inc.",$10737.48,Bay To Breakers
06/30/2010,"Alberti, Adam","Singer Associates, Inc.",$41063.72,Hotel Council Of San Francisco
07/31/2010,"Alberti, Adam","Singer Associates, Inc.",$23542.77,Hotel Council Of San Francisco
09/30/2010,"Alberti, Adam","Singer Associates, Inc.",$10053.41,Hotel Council Of San Francisco
10/31/2010,"Alberti, Adam","Singer Associates, Inc.",$8025.38,Bay To Breakers
10/31/2010,"Alberti, Adam","Singer Associates, Inc.",$10554.41,Hotel Council Of San Francisco
11/30/2010,"Alberti, Adam","Singer Associates, Inc.",$10079.41,Hotel Council Of San Francisco
01/31/2011,"Alberti, Adam","Singer Associates, Inc.",$17828.13,Bay To Breakers
02/28/2011,"Alberti, Adam","Singer Associates, Inc.",$16474.89,Bay To Breakers
02/28/2011,"Alberti, Adam","Singer Associates, Inc.",$10373.68,Hotel Council Of San Francisco
03/31/2011,"Alberti, Adam","Singer Associates, Inc.",$17712.33,Bay To Breakers
04/30/2011,"Alberti, Adam","Singer Associates, Inc.",$16249.21,Bay To Breakers
05/31/2011,"Alberti, Adam","Singer Associates, Inc.",$23672.36,Bay To Breakers
06/30/2011,"Alberti, Adam","Singer Associates, Inc.",$9344.34,Bay To Breakers
12/16/2011,"Alberti, Adam","Singer Associates, Inc.",$15754.92,Bay To Breakers
01/31/2012,"Alberti, Adam","Singer Associates, Inc.",$15762.94,Bay To Breakers
01/31/2012,"Alberti, Adam","Singer Associates, Inc.",$7453.34,Sims Metal Management
02/28/2012,"Alberti, Adam","Singer Associates, Inc.",$15882.21,Bay To Breakers
02/29/2012,"Alberti, Adam","Singer Associates, Inc.",$8448.59,Sims Metal Management
03/31/2012,"Alberti, Adam","Singer Associates, Inc.",$15823.35,Bay To Breakers
03/31/2012,"Alberti, Adam","Singer Associates, Inc.",$12907.63,Sims Metal Management
04/30/2012,"Alberti, Adam","Singer Associates, Inc.",$6497.42,Bay To Breakers
04/30/2012,"Alberti, Adam","Singer Associates, Inc.",$9745.02,Sims Metal Management
05/15/2012,"Alberti, Adam","Singer Associates, Inc.",$6313.65,Bay To Breakers
05/31/2012,"Alberti, Adam","Singer Associates, Inc.",$33019.61,Sims Metal Management
06/15/2012,"Alberti, Adam","Singer Associates, Inc.",$15882.71,Bay To Breakers
06/30/2012,"Alberti, Adam","Singer Associates, Inc.",$14336.27,Sims Metal Management
08/28/2012,"Alberti, Adam","Singer Associates, Inc.",$2386.05,Sims Metal Management
08/28/2012,"Alberti, Adam","Singer Associates, Inc.",$393.75,Bay To Breakers
09/30/2012,"Alberti, Adam","Singer Associates, Inc.",$5250.15,Sims Metal Management
10/31/2012,"Alberti, Adam","Singer Associates, Inc.",$2244.38,Sims Metal Management
11/30/2012,"Alberti, Adam","Singer Associates, Inc.",$2256.13,Sims Metal Management
12/14/2012,"Alberti, Adam","Singer Associates, Inc.",$2795.52,Sims Metal Management
01/31/2013,"Alberti, Adam","Singer Associates, Inc.",$276.99,Sims Metal Management
05/31/2013,"Alberti, Adam","Singer Associates, Inc.",$14530.15,Four Seasons Residences
05/19/2010,"Berg, Jessica",Bergdavis Public Affairs,$5569.56,Masonic Center
04/30/2010,"Berg, Jessica",Bergdavis Public Affairs,$11986.47,Masonic Center
03/31/2010,"Berg, Jessica",Bergdavis Public Affairs,$12761.62,Masonic Center
02/28/2010,"Berg, Jessica",Bergdavis Public Affairs,$15104.39,Masonic Center
02/28/2010,"Berg, Jessica",Bergdavis Public Affairs,$15104.39,Masonic Center
01/31/2010,"Berg, Jessica",Bergdavis Public Affairs,$11542.93,Masonic Center
07/31/2011,"Blakeman, Marc D.",At&t,$496.65,At&t California
06/30/2011,"Blakeman, Marc D.",At&t,$106.33,At&t California
05/31/2011,"Blakeman, Marc D.",At&t,$1048.21,At&t California
04/30/2011,"Blakeman, Marc D.",At&t,$670.88,At&t California
