Date,Lobbyist,Lobbyist_Firm,Official,Official_Department,Lobbyist_Client,MunicipalDecision,DesiredOutcome,FileNumber,LobbyingSubjectArea
07/24/2014,"Symonds, Stephen","Pershing Square Capital Management, L.p.","Coaker, William",Retirement Board San Francisco Employees,"Pershing Square Capital Management, L.p.",Business Development And Marketing Of Investment Products,Business development and marketing of investment products to San Francisco City & County Employees' Retirement System,,City Employee Benefits
07/24/2014,"Symonds, Stephen","Pershing Square Capital Management, L.p.","Shaw, Robert",Retirement Board San Francisco Employees,"Pershing Square Capital Management, L.p.",Business Development And Marketing Of Investment Products,Business development and marketing of investment products to San Francisco City & County Employees' Retirement System,,City Employee Benefits
07/24/2014,"Symonds, Stephen","Pershing Square Capital Management, L.p.","Coleman, Mark",Retirement Board San Francisco Employees,"Pershing Square Capital Management, L.p.",Business Development And Marketing Of Investment Products,Business development and marketing of investment products to San Francisco City & County Employees' Retirement System,,City Employee Benefits
05/28/2014,"Symonds, Stephen","Pershing Square Capital Management, L.p.","Coaker, William",Retirement Board San Francisco Employees,"Pershing Square Capital Management, L.p.",Business Development And Marketing Of Investment Products,Business development and marketing of investment products to San Francisco City & County Employees' Retirement System,,City Employee Benefits
05/29/2014,"Symonds, Stephen","Pershing Square Capital Management, L.p.","Coaker, William",Retirement Board San Francisco Employees,"Pershing Square Capital Management, L.p.",Business Development And Marketing Of Investment Products,Business development and marketing of investment products to San Francisco City & County Employees' Retirement System,,City Employee Benefits
07/11/2013,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,Millennium Partners,706 Mission Project,Informational meeting regarding the project at 706 Mission Street.,,Planning and Building Permits
07/22/2013,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,Millennium Partners,706 Mission Project,Informational meeting regarding the project at 706 Mission Street.,,Planning and Building Permits
03/19/2013,"Smolens, H. Marcia",Hms Associates,"Wu, Cindy",Planning Commission,Millennium Partners,706 Mission Project,Informational meeting regarding the project at 706 Mission Street.,,Planning and Building Permits
07/27/2012,"Smolens, H. Marcia",Hms Associates,"Mar, Eric",Board Of Supervisors,Chinese Hospital,Chinese Hospital Special Use District,Informational meeting regarding the Chinese Hospital Replacement Project.,120475 & 120753,Planning and Building Permits
07/27/2012,"Smolens, H. Marcia",Hms Associates,"Wiener, Scott",Board Of Supervisors,Chinese Hospital,Chinese Hospital Special Use District,Informational meeting regarding the Chinese Hospital Replacement Project.,120475 & 120753,Planning and Building Permits
05/11/2012,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,Sf Waterfront Partners,8 Washington Project,Discussion of the proposed project at 8 Washington Street.,,Planning and Building Permits
05/11/2012,"Smolens, H. Marcia",Hms Associates,"Wiener, Scott",Board Of Supervisors,Sf Waterfront Partners,8 Washington Project,Discussion of the proposed project at 8 Washington Street.,,Planning and Building Permits
04/18/2012,"Smolens, H. Marcia",Hms Associates,"Campos, David",Board Of Supervisors,Sf Waterfront Partners,8 Washington Project,Discussion regarding the proposed project at 8 Washington Street.,"120266, 120267, 120268, 120269",Planning and Building Permits
04/26/2012,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,Sf Waterfront Partners,8 Washington Project,Discussion regarding the proposed project at 8 Washington Street.,"120266, 120267, 120268, 120269",Planning and Building Permits
09/19/2011,"Smolens, H. Marcia",Hms Associates,"Rahaim, John","Planning, Department Of",Millennium Partners,706 Mission Street,Discussed the design of the project at 706 Mission Street.,,Planning and Building Permits
09/19/2011,"Smolens, H. Marcia",Hms Associates,"Kawa, Steve",Mayor Office Of The,America's Cup Event Authority Llc,America's Cup Event,Discussion of the America's Cup schedule.,,Planning and Building Permits
07/22/2011,"Smolens, H. Marcia",Hms Associates,"Kawa, Steve",Mayor Office Of The,America's Cup Event Authority Llc,Americas Cup Event,Discussion of issues relating to upcoming America's Cup.,,Economic Development
07/25/2011,"Smolens, H. Marcia",Hms Associates,"Kawa, Steve",Mayor Office Of The,America's Cup Event Authority Llc,Americas Cup Event,Discussion of issues relating to upcoming America's Cup.,,Economic Development
05/16/2011,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,Parkmerced,Parkmerced Development Agreement,Approval of the Development Agreement for the Parkmerced project.,110300,Planning and Building Permits
03/22/2011,"Smolens, H. Marcia",Hms Associates,"Rahaim, John","Planning, Department Of",Millennium Partners,706 Mission Street,Give info/update on the 706 Mission Street project.,,Planning and Building Permits
03/23/2011,"Smolens, H. Marcia",Hms Associates,"Lee, Edwin",Mayor Office Of The,Millennium Partners,706 Mission Street,Give info/update on the 706 Mission Street project.,,Planning and Building Permits
03/25/2011,"Smolens, H. Marcia",Hms Associates,"Kim, Jane",Board Of Supervisors,Parkmerced,Parkmerced Final Eir,Affirm certification of final EIR.,110207,Planning and Building Permits
02/09/2011,"Smolens, H. Marcia",Hms Associates,"Lee, Edwin",Mayor Office Of The,Parkmerced,Parkmerced,Briefed the Mayor on the Parkmerced project.,,Planning and Building Permits
09/13/2010,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,"Urban Realty Co., Inc.",City Place,Discussed the appeal of the final EIR for the proposed CityPlace project.,101027,Planning and Building Permits
09/14/2010,"Smolens, H. Marcia",Hms Associates,"Daly, Chris",Board Of Supervisors,"Urban Realty Co., Inc.",City Place,Discussed the appeal of the final EIR for the proposed CityPlace project.,101027,Planning and Building Permits
08/18/2010,"Smolens, H. Marcia",Hms Associates,"Elsbernd, Sean",Board Of Supervisors,"Urban Realty Co., Inc.",Cityplace,Brief Supervisors regarding the appeal of the EIR,101027,Planning and Building Permits
08/18/2010,"Smolens, H. Marcia",Hms Associates,"Cohen, Michael",Mayor Office Of The,Sf Waterfront Partners,8 Washington,Discussion regarding proposed condo project at 8 Washington Street.,,Planning and Building Permits
08/18/2010,"Smolens, H. Marcia",Hms Associates,"Mar, Eric",Board Of Supervisors,"Urban Realty Co., Inc.",Cityplace,Brief Supervisors regarding the appeal of the EIR,101027,Planning and Building Permits
08/18/2010,"Smolens, H. Marcia",Hms Associates,"Maxwell, Sophie",Board Of Supervisors,"Urban Realty Co., Inc.",Cityplace,Brief Supervisors regarding the appeal of the EIR,101027,Planning and Building Permits
08/23/2010,"Smolens, H. Marcia",Hms Associates,"Chu, Carmen",Board Of Supervisors,"Urban Realty Co., Inc.",Cityplace,Brief Supervisors regarding the appeal of the EIR,101027,Planning and Building Permits
08/24/2010,"Smolens, H. Marcia",Hms Associates,"Alioto-Pier, Michela",Board Of Supervisors,"Urban Realty Co., Inc.",Cityplace,Brief Supervisors regarding the appeal of the EIR,101027,Planning and Building Permits
08/24/2010,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,"Urban Realty Co., Inc.",Cityplace,Brief Supervisors regarding the appeal of the EIR,101027,Planning and Building Permits
08/25/2010,"Smolens, H. Marcia",Hms Associates,"Dufty, Bevan",Board Of Supervisors,"Urban Realty Co., Inc.",Cityplace,Brief Supervisors regarding the appeal of the EIR,101027,Planning and Building Permits
07/06/2010,"Smolens, H. Marcia",Hms Associates,"Rahaim, John","Planning, Department Of",Parkmerced,Parkmerced,Informational meeting regarding project design.,,Planning and Building Permits
07/08/2010,"Smolens, H. Marcia",Hms Associates,"Borden, Gwyneth",Planning Commission,"Urban Realty Co., Inc.",City Place,Certification of the Final EIR.,2005.1074E,Planning and Building Permits
07/08/2010,"Smolens, H. Marcia",Hms Associates,"Antonini, Michael",Planning Commission,"Urban Realty Co., Inc.",City Place,Certification of the Final EIR.,2005.1074E,Planning and Building Permits
07/08/2010,"Smolens, H. Marcia",Hms Associates,"Olague, Christina",Planning Commission,"Urban Realty Co., Inc.",City Place,Certification of the Final EIR.,2005.1074E,Planning and Building Permits
07/08/2010,"Smolens, H. Marcia",Hms Associates,"Miguel, Ron",Planning Commission,"Urban Realty Co., Inc.",City Place,Certification of the Final EIR.,2005.1074E,Planning and Building Permits
07/08/2010,"Smolens, H. Marcia",Hms Associates,"Lee, William",Planning Commission,"Urban Realty Co., Inc.",City Place,Certification of the Final EIR.,2005.1074E,Planning and Building Permits
06/03/2010,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,Ctia - The Wireless Association,Sar Values For Cell Phones,To educate Supervisors about the legislation.,100104,Technology
06/07/2010,"Smolens, H. Marcia",Hms Associates,"Mar, Eric",Board Of Supervisors,Ctia - The Wireless Association,Sar Values For Cell Phones,To educate Supervisors about the legislation.,100104,Technology
06/07/2010,"Smolens, H. Marcia",Hms Associates,"Alioto-Pier, Michela",Board Of Supervisors,Ctia - The Wireless Association,Sar Values For Cell Phones,To educate Supervisors about the legislation.,100104,Technology
05/05/2010,"Smolens, H. Marcia",Hms Associates,"Elsbernd, Sean",Board Of Supervisors,Ctia - The Wireless Association,Sar Values For Cell Phones,To educate Supervisors about the legislation,100104,Technology
05/06/2010,"Smolens, H. Marcia",Hms Associates,"Blackstone, Camelin",Board Of Supervisors,Ctia - The Wireless Association,Sar Values For Cell Phones,To educate Supervisors about the legislation,100104,Technology
05/06/2010,"Smolens, H. Marcia",Hms Associates,"Avalos, John",Board Of Supervisors,Ctia - The Wireless Association,Sar Values For Cell Phones,To educate Supervisors about the legislation,100104,Technology
05/27/2010,"Smolens, H. Marcia",Hms Associates,"Maxwell, Sophie",Board Of Supervisors,Ctia - The Wireless Association,Sar Values For Cell Phones,To educate Supervisors about the legislation,100104,Technology
04/14/2010,"Smolens, H. Marcia",Hms Associates,"Rahaim, John","Planning, Department Of",Millennium Partners,706 Mission Street,Ongoing discussion regarding the project at 706 Mission Street.,None,Planning and Building Permits
