Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,01,10017,0109835,Alameda,Alameda County Office of Education,FAME Public Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,0728,Directly funded,Y,K,12,1087.0,565.0,0.5197792088316467,715.0,0.6577736890524379,1070.0,553.0,0.516822429906542,702.0,0.6560747663551402,Y
2014-2015,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Y,0811,Directly funded,Y,9,12,395.0,186.0,0.4708860759493671,186.0,0.4708860759493671,376.0,182.0,0.48404255319148937,182.0,0.48404255319148937,Y
2014-2015,01,10017,0118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,County Office of Education (COE),High Schools (Public),Traditional,,Y,1049,Directly funded,Y,9,12,244.0,134.0,0.5491803278688525,175.0,0.7172131147540983,230.0,128.0,0.5565217391304348,168.0,0.7304347826086957,Y
2014-2015,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2                             ,Y,1284,Directly funded,Y,K,8,191.0,113.0,0.5916230366492147,139.0,0.7277486910994765,190.0,113.0,0.5947368421052631,139.0,0.7315789473684211,Y
2014-2015,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1296,Directly funded,Y,K,8,257.0,14.0,0.054474708171206226,21.0,0.08171206225680934,257.0,14.0,0.054474708171206226,21.0,0.08171206225680934,Y
2014-2015,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1383,Directly funded,Y,K,8,279.0,81.0,0.2903225806451613,101.0,0.36200716845878134,273.0,78.0,0.2857142857142857,98.0,0.358974358974359,Y
2014-2015,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,N,,,N,K,12,181.0,71.0,0.39226519337016574,73.0,0.40331491712707185,160.0,66.0,0.4125,68.0,0.425,Y
2014-2015,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,N,,,N,K,12,277.0,190.0,0.6859205776173285,223.0,0.8050541516245487,221.0,145.0,0.6561085972850679,172.0,0.7782805429864253,Y
2014-2015,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,0740,Directly funded,Y,K,5,597.0,493.0,0.8257956448911222,557.0,0.932998324958124,586.0,483.0,0.8242320819112628,546.0,0.931740614334471,Y
2014-2015,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2                                       ,Y,1464,Directly funded,Y,K,8,437.0,336.0,0.7688787185354691,400.0,0.9153318077803204,437.0,336.0,0.7688787185354691,400.0,0.9153318077803204,Y
2014-2015,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,N,,,N,1,Adult,60.0,59.0,0.9833333333333333,59.0,0.9833333333333333,40.0,39.0,0.975,39.0,0.975,Y
2014-2015,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2                                       ,N,,,N,P,12,410.0,403.0,0.9829268292682927,403.0,0.9829268292682927,335.0,330.0,0.9850746268656716,330.0,0.9850746268656716,Y
2014-2015,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,29.0,1.0,0.034482758620689655,1.0,0.034482758620689655,27.0,1.0,0.037037037037037035,1.0,0.037037037037037035,Y
2014-2015,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,170.0,39.0,0.22941176470588234,52.0,0.3058823529411765,167.0,38.0,0.2275449101796407,50.0,0.2994011976047904,Y
2014-2015,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,588.0,322.0,0.5476190476190477,398.0,0.6768707482993197,588.0,322.0,0.5476190476190477,398.0,0.6768707482993197,Y
2014-2015,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Y,1066,Directly funded,Y,K,12,476.0,117.0,0.24579831932773108,147.0,0.3088235294117647,470.0,115.0,0.24468085106382978,145.0,0.30851063829787234,Y
