cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
00000000000000,X,,,,496901,210706,489,500,484,93334,44.30
01000000000000,C,,,Alameda,16978,8855,516,536,517,4900,55.34
01100170000000,D,,Alameda County Office of Education,Alameda,398,88,418,418,417,14,15.91
01100170109835,S,FAME Public Charter,Alameda County Office of Education,Alameda,62,17,503,546,505,9,52.94
01100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,75,71,397,387,395,5,7.04
01100170118489,S,Aspire California College Preparatory Academy,Alameda County Office of Education,Alameda,61,0,NA,NA,NA,NA,NA
01611190000000,D,,Alameda Unified,Alameda,922,544,521,546,519,333,61.21
01611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,36,36,562,590,555,29,80.56
01611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,12,6,,,,,
01611190130229,S,Alameda High,Alameda Unified,Alameda,465,325,543,573,543,229,70.46
01611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,26,20,575,593,581,16,80.00
01611190130625,S,Alternatives in Action,Alameda Unified,Alameda,41,23,352,350,343,1,4.35
01611190132878,S,Encinal High,Alameda Unified,Alameda,238,132,483,504,476,56,42.42
01611190134304,S,Island High (Continuation),Alameda Unified,Alameda,100,2,,,,,
01611270000000,D,,Albany City Unified,Alameda,289,178,572,599,574,136,76.40
01611270130450,S,Albany High,Albany City Unified,Alameda,273,178,572,599,574,136,76.40
01611430000000,D,,Berkeley Unified,Alameda,885,490,566,562,559,337,68.78
01611430122697,S,REALM Charter High,Berkeley Unified,Alameda,76,36,384,360,386,2,5.56
01611430131177,S,Berkeley High,Berkeley Unified,Alameda,741,450,583,580,574,335,74.44
01611430134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,59,4,,,,,
01611500000000,D,,Castro Valley Unified,Alameda,755,438,527,556,524,273,62.33
01611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,688,438,527,556,524,273,62.33
01611680000000,D,,Emery Unified,Alameda,47,23,420,433,441,6,26.09
01611680132746,S,Emery Secondary,Emery Unified,Alameda,47,23,420,433,441,6,26.09
01611760000000,D,,Fremont Unified,Alameda,2511,1537,586,626,599,1215,79.05
01611760130062,S,American High,Fremont Unified,Alameda,457,309,573,608,592,243,78.64
01611760130138,S,Robertson High (Continuation),Fremont Unified,Alameda,119,1,,,,,
01611760130435,S,Vista Alternative,Fremont Unified,Alameda,23,0,NA,NA,NA,NA,NA
