year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,congressional_district
2015,"Congressional District 1 (114th Congress), Alabama",50000US0101,706302,459077,198856,21301,8928,7576,0,2145,39.4,256397,133500,44535,44535,120340,18692,01,01
2015,"Congressional District 2 (114th Congress), Alabama",50000US0102,686622,427396,216982,20532,6608,1696,303,382,38,258887,123900,42395,42395,131410,19168,01,02
2015,"Congressional District 3 (114th Congress), Alabama",50000US0103,703986,479091,176836,21104,10658,1627,92,295,38.5,268218,124700,42171,42171,134247,21649,01,03
2015,"Congressional District 4 (114th Congress), Alabama",50000US0104,684685,574436,48879,43398,2811,2623,713,274,40.5,260023,109800,39608,39608,133258,26110,01,04
2015,"Congressional District 5 (114th Congress), Alabama",50000US0105,708972,516031,123324,35846,11638,3320,315,1177,39.8,279670,151300,51531,51531,104900,31730,01,05
2015,"Congressional District 6 (114th Congress), Alabama",50000US0106,700691,538323,108578,29320,13495,1348,140,156,38.5,265880,179000,61524,61524,70679,32774,01,06
2015,"Congressional District 7 (114th Congress), Alabama",50000US0107,667721,209722,423226,21369,4780,879,1003,1161,36,257315,98700,33928,33928,181182,19849,01,07
2015,"Congressional District (at Large) (114th Congress), Alaska",50000US0200,738432,452472,24739,51825,45753,98300,6341,2201,33.3,250185,259600,73355,73355,74532,58544,02,00
2015,"Congressional District 1 (114th Congress), Arizona",50000US0401,759663,367186,17414,173716,12557,172010,740,705,36.6,246360,161900,48892,48892,150843,51132,04,01
2015,"Congressional District 2 (114th Congress), Arizona",50000US0402,713631,442634,28137,198714,21173,4082,1369,1557,41.7,300061,170200,48095,48095,110627,82404,04,02
2015,"Congressional District 3 (114th Congress), Arizona",50000US0403,761488,221280,34009,456969,12041,25450,510,430,31.1,236952,133700,42953,42953,171955,158481,04,03
2015,"Congressional District 4 (114th Congress), Arizona",50000US0404,739374,558619,11222,133985,7539,11107,295,722,47.9,291983,167800,46467,46467,100361,55749,04,04
2015,"Congressional District 5 (114th Congress), Arizona",50000US0405,789400,557501,24841,135888,40044,10090,2266,720,38.6,275268,249800,69784,69784,67870,80505,04,05
2015,"Congressional District 6 (114th Congress), Arizona",50000US0406,749808,523591,22276,136609,37055,11536,516,1062,42.2,303376,323900,63495,63495,97857,104556,04,06
2015,"Congressional District 7 (114th Congress), Arizona",50000US0407,769597,165079,73799,483297,16438,18393,1540,605,29.9,229608,132500,35243,35243,247030,190802,04,07
2015,"Congressional District 8 (114th Congress), Arizona",50000US0408,767981,530605,34660,151171,26397,4687,1358,767,41.7,276097,214500,60858,60858,68273,77086,04,08
2015,"Congressional District 9 (114th Congress), Arizona",50000US0409,777123,435768,36360,228062,37678,18777,1369,383,33.3,303303,240100,51435,51435,144227,113685,04,09
2015,"Congressional District 1 (114th Congress), Arkansas",50000US0501,722402,549920,131086,22144,3594,2855,345,485,40,280712,102600,36882,36882,141840,11673,05,01
2015,"Congressional District 2 (114th Congress), Arkansas",50000US0502,761348,522627,170813,38273,12693,2558,174,1287,36.5,293408,144800,47118,47118,132826,32168,05,02
2015,"Congressional District 3 (114th Congress), Arkansas",50000US0503,782717,590908,25783,107386,21434,8474,7022,766,35.1,293570,144200,46740,46740,126522,76086,05,03
2015,"Congressional District 4 (114th Congress), Arkansas",50000US0504,711737,511479,138804,39940,4211,4334,10,1288,41.2,276973,93600,37728,37728,149320,22914,05,04
2015,"Congressional District 1 (114th Congress), California",50000US0601,710344,549013,9826,93326,21051,12150,979,464,42.4,275121,255200,46091,46091,132763,44969,06,01
2015,"Congressional District 2 (114th Congress), California",50000US0602,720346,510969,10985,127669,28491,12406,528,3594,43.5,284074,560800,65414,65414,87532,93092,06,02
2015,"Congressional District 3 (114th Congress), California",50000US0603,731775,346918,44574,219724,78842,4442,2564,1041,34.7,243040,301100,57401,57401,121983,137110,06,03
2015,"Congressional District 4 (114th Congress), California",50000US0604,722313,550151,11484,95371,34283,4171,1281,317,44.9,270416,374800,70582,70582,67639,64754,06,04
2015,"Congressional District 5 (114th Congress), California",50000US0605,733412,363984,42059,204335,84593,2371,3238,3443,39.8,266275,437200,67197,67197,84206,155836,06,05
2015,"Congressional District 6 (114th Congress), California",50000US0606,750843,274434,89216,221525,113490,2857,9148,3675,33.9,269672,266600,49523,49523,154807,176675,06,06
2015,"Congressional District 7 (114th Congress), California",50000US0607,739069,403435,54034,117592,118280,1941,7354,690,38.5,261331,333600,70131,70131,92224,134669,06,07
2015,"Congressional District 8 (114th Congress), California",50000US0608,716399,330270,54652,281062,20492,6384,2249,1134,34.1,234636,201900,46468,46468,151851,97424,06,08
2015,"Congressional District 9 (114th Congress), California",50000US0609,746779,262632,64806,280689,104780,1337,3850,1347,34.4,231471,298900,57509,57509,121314,167766,06,09
2015,"Congressional District 10 (114th Congress), California",50000US0610,739784,317622,22527,316229,50618,2871,4893,693,34.7,232423,272500,56368,56368,128416,155946,06,10
2015,"Congressional District 11 (114th Congress), California",50000US0611,752786,347051,62274,204980,103444,1801,3202,2677,39.8,272027,580000,79622,79622,83921,198436,06,11
2015,"Congressional District 12 (114th Congress), California",50000US0612,749688,324571,38543,111924,241651,1101,2945,2085,38.3,322938,952800,93122,93122,88207,251104,06,12
2015,"Congressional District 13 (114th Congress), California",50000US0613,755776,264278,127178,169200,152029,2574,3328,2982,36.8,290264,638700,66046,66046,121544,203846,06,13
2015,"Congressional District 14 (114th Congress), California",50000US0614,757062,258060,21168,184164,252145,982,10020,2461,39.5,253897,863400,98129,98129,71013,286689,06,14
2015,"Congressional District 15 (114th Congress), California",50000US0615,771800,251295,45359,171040,258588,2071,8667,699,37.9,245957,669000,100634,100634,55861,265023,06,15
2015,"Congressional District 16 (114th Congress), California",50000US0616,740625,165221,35730,447635,70753,4171,1675,731,30,210503,182700,39211,39211,221505,189673,06,16
2015,"Congressional District 17 (114th Congress), California",50000US0617,760444,187739,18171,123131,401361,1456,6288,1196,36.8,252032,816100,111024,111024,50994,365227,06,17
2015,"Congressional District 18 (114th Congress), California",50000US0618,738774,406785,12715,117774,167720,790,984,2256,39.6,270411,1139900,120089,120089,51389,212942,06,18
2015,"Congressional District 19 (114th Congress), California",50000US0619,765143,192674,21438,316342,204996,1430,2412,2454,36.8,230476,657500,85536,85536,73782,274054,06,19
2015,"Congressional District 20 (114th Congress), California",50000US0620,733752,270159,11805,388510,37037,1967,2069,1058,34.4,223401,495300,61507,61507,107865,198527,06,20
2015,"Congressional District 21 (114th Congress), California",50000US0621,716371,121487,26200,535377,21187,3579,1013,159,29.6,186898,163300,37970,37970,204517,212051,06,21
2015,"Congressional District 22 (114th Congress), California",50000US0622,741313,297229,24444,346341,53536,2601,620,868,32.8,242617,232600,53886,53886,146164,128148,06,22
2015,"Congressional District 23 (114th Congress), California",50000US0623,738690,347862,49665,278191,38237,2856,1195,614,33.3,238176,227700,59341,59341,126786,99472,06,23
2015,"Congressional District 24 (114th Congress), California",50000US0624,736757,403071,13859,264994,34040,3190,1483,336,35.8,253465,524700,63199,63199,108497,131302,06,24
2015,"Congressional District 25 (114th Congress), California",50000US0625,720316,308131,57559,268191,64591,1541,259,1331,36,219870,413100,75732,75732,87089,150616,06,25
2015,"Congressional District 26 (114th Congress), California",50000US0626,725084,316289,12377,326195,50358,1789,1457,1307,37.3,229575,532300,77744,77744,73290,175270,06,26
2015,"Congressional District 27 (114th Congress), California",50000US0627,733239,193775,33402,204933,277870,1371,1520,2611,41.4,242888,654300,71343,71343,93994,287247,06,27
2015,"Congressional District 28 (114th Congress), California",50000US0628,714897,401642,20873,173304,94546,1038,843,3311,39.5,293554,720400,61405,61405,98526,284340,06,28
2015,"Congressional District 29 (114th Congress), California",50000US0629,720532,132879,27098,495946,54581,597,466,1395,33.8,207550,412800,47608,47608,150982,308949,06,29
2015,"Congressional District 30 (114th Congress), California",50000US0630,771108,384583,32445,223047,101169,1474,927,4934,38.6,276708,614100,75853,75853,81092,263101,06,30
2015,"Congressional District 31 (114th Congress), California",50000US0631,738482,200431,75509,382284,57817,1956,3788,1573,32.3,221071,313000,54453,54453,139720,164599,06,31
2015,"Congressional District 32 (114th Congress), California",50000US0632,732927,119337,12697,464333,123041,1423,1195,1271,36.6,197553,422000,61756,61756,93969,256334,06,32
2015,"Congressional District 33 (114th Congress), California",50000US0633,718273,458115,25889,93500,101244,1120,3229,3196,40.8,295234,1063700,97074,97074,62725,167834,06,33
2015,"Congressional District 34 (114th Congress), California",50000US0634,735150,75521,33485,471669,141387,1530,693,1305,34.2,245781,501900,38326,38326,190707,336947,06,34
2015,"Congressional District 35 (114th Congress), California",50000US0635,739819,96384,43913,529021,51580,1531,920,1296,31.6,188052,323700,56215,56215,124129,225168,06,35
2015,"Congressional District 36 (114th Congress), California",50000US0636,750645,301450,33339,374173,23210,4499,1291,765,39.6,261393,244000,46471,46471,153152,166051,06,36
2015,"Congressional District 37 (114th Congress), California",50000US0637,722781,182414,168770,275177,70178,842,1268,3067,35.2,274696,620700,51114,51114,138528,232236,06,37
2015,"Congressional District 38 (114th Congress), California",50000US0638,725433,118992,26656,453285,110743,2252,1661,1962,36.9,208115,450500,62697,62697,78750,224888,06,38
2015,"Congressional District 39 (114th Congress), California",50000US0639,731324,219155,12369,255413,225540,1828,638,564,39.2,229743,611300,81183,81183,68886,244518,06,39
2015,"Congressional District 40 (114th Congress), California",50000US0640,721037,35342,32337,631742,17822,802,483,606,30.8,178570,388100,42497,42497,171497,297224,06,40
2015,"Congressional District 41 (114th Congress), California",50000US0641,745630,186793,67628,432292,37912,1981,2690,513,30.9,196677,287000,58592,58592,126662,182256,06,41
2015,"Congressional District 42 (114th Congress), California",50000US0642,772860,330400,37852,294532,77349,2689,1918,628,35.8,229332,374400,72536,72536,91265,160110,06,42
2015,"Congressional District 43 (114th Congress), California",50000US0643,744444,100255,165932,359607,93356,807,3597,2905,34.7,235120,447400,50885,50885,152651,230671,06,43
2015,"Congressional District 44 (114th Congress), California",50000US0644,712204,48223,105283,494460,46835,2412,6332,1099,32.3,186730,352900,49037,49037,149186,243811,06,44
2015,"Congressional District 45 (114th Congress), California",50000US0645,771550,396183,16640,137862,188229,317,741,1424,39.5,269949,667600,93374,93374,79157,233503,06,45
2015,"Congressional District 46 (114th Congress), California",50000US0646,738410,129518,13198,496783,87740,994,2226,1207,31.7,184493,453300,57583,57583,131809,305696,06,46
2015,"Congressional District 47 (114th Congress), California",50000US0647,718339,219737,49123,260614,157562,4456,6491,1084,37.1,245709,515800,59744,59744,121110,222739,06,47
2015,"Congressional District 48 (114th Congress), California",50000US0648,724082,407795,8755,146880,131488,2419,2878,2304,42,266822,705300,83001,83001,76228,182787,06,48
2015,"Congressional District 49 (114th Congress), California",50000US0649,735828,452393,18380,189640,50002,1860,2355,1767,37.8,254731,650700,81611,81611,70558,127421,06,49
2015,"Congressional District 50 (114th Congress), California",50000US0650,753486,418673,17127,236904,45890,5825,2864,2849,36.9,243200,431000,66103,66103,89867,151481,06,50
2015,"Congressional District 51 (114th Congress), California",50000US0651,724812,94625,40629,511457,63094,2792,1424,151,32.5,198884,296300,41085,41085,171748,256072,06,51
2015,"Congressional District 52 (114th Congress), California",50000US0652,755498,434224,20832,118641,143186,741,3010,1349,36.3,282286,640200,84479,84479,72921,186870,06,52
