year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,place
2015,"Birmingham city, Alabama",16000US0107000,214911,,,8940,,,,,35.6,93467,93000,32378,32378,60868,8258,01,07000
2015,"Dothan city, Alabama",16000US0121184,67536,,,1704,,,,,38.9,25709,142200,44208,44208,12745,1699,01,21184
2015,"Hoover city, Alabama",16000US0135896,84839,,,3430,,,,,38.5,32767,277900,77365,77365,3948,8229,01,35896
2015,"Huntsville city, Alabama",16000US0137000,189114,,,10887,,,,,38.1,83144,175100,46769,46769,33195,12691,01,37000
2015,"Mobile city, Alabama",16000US0150000,194305,,,5229,,,,,38,77701,113800,38678,38678,36893,7234,01,50000
2015,"Montgomery city, Alabama",16000US0151000,200586,66139,119081,6648,4534,232,0,157,35.4,80655,116700,41836,41836,44458,9337,01,51000
2015,"Tuscaloosa city, Alabama",16000US0177256,98338,,,2475,,,,,29.1,33270,179800,44125,44125,21593,4706,01,77256
2015,"Anchorage municipality, Alaska",16000US0203000,298695,175448,17373,27261,28285,19090,5135,1725,32.2,104936,302500,78662,78662,24405,33258,02,03000
2015,"Avondale city, Arizona",16000US0404720,80683,31978,10071,34716,2167,270,73,0,29.1,25329,181200,54686,54686,12971,8355,04,04720
2015,"Casas Adobes CDP, Arizona",16000US0410670,65265,45005,847,13609,2082,439,603,44,44.8,28703,173500,54766,54766,5129,7024,04,10670
2015,"Chandler city, Arizona",16000US0412000,260833,151850,12380,57159,28291,3350,0,107,35.6,93639,273600,75562,75562,23896,38721,04,12000
2015,"Flagstaff city, Arizona",16000US0423620,70317,47418,1293,13606,1830,3632,183,0,23.9,22707,280300,51616,51616,12019,4262,04,23620
2015,"Gilbert town, Arizona",16000US0427400,247523,172610,6891,39937,16519,3857,276,634,33.2,77123,284800,86045,86045,14826,24531,04,27400
2015,"Glendale city, Arizona",16000US0427820,240114,124250,12077,83711,12133,861,299,0,34.4,81948,181000,45812,45812,53598,44133,04,27820
2015,"Goodyear city, Arizona",16000US0428380,79003,,,21603,,,,,38.6,25541,254600,73164,73164,6769,11774,04,28380
2015,"Mesa city, Arizona",16000US0446000,471833,292671,16749,131425,10123,9956,1990,86,36.9,174853,188100,49177,49177,80447,57492,04,46000
2015,"Peoria city, Arizona",16000US0454050,171242,114316,5118,41129,4705,1647,522,87,36.9,57095,223000,66308,66308,11839,14260,04,54050
2015,"Phoenix city, Arizona",16000US0455000,1563001,679224,103568,669914,49628,25760,2394,1399,33.8,534199,200800,48452,48452,344455,300702,04,55000
2015,"San Tan Valley CDP, Arizona",16000US0464210,82797,,,18733,,,,,31.3,,177200,61441,61441,9257,5757,04,64210
2015,"Scottsdale city, Arizona",16000US0465000,236844,,,24766,,,,,46.9,108501,434700,75346,75346,26006,27207,04,65000
2015,"Surprise city, Arizona",16000US0471510,128442,89201,7448,25366,1562,267,280,680,39.4,44180,213900,65688,65688,9303,9929,04,71510
2015,"Tempe city, Arizona",16000US0473000,175826,99348,9698,44404,14561,2939,532,0,28.8,67325,246200,51688,51688,32891,26620,04,73000
2015,"Tucson city, Arizona",16000US0477000,531674,237855,24815,231025,15992,9578,526,349,33.6,206448,139400,38155,38155,127626,82220,04,77000
2015,"Yuma city, Arizona",16000US0485540,94145,32582,2583,57054,562,252,0,72,33.4,34467,125500,43663,43663,18290,19326,04,85540
2015,"Fayetteville city, Arkansas",16000US0523290,82832,,,5535,,,,,27.1,33227,182600,39546,39546,17889,6313,05,23290
2015,"Fort Smith city, Arkansas",16000US0524550,88195,,,17104,,,,,34.9,35543,116300,33534,33534,25647,13177,05,24550
2015,"Jonesboro city, Arkansas",16000US0535710,73906,,,4614,,,,,32.6,28816,139000,38094,38094,12887,3222,05,35710
2015,"Little Rock city, Arkansas",16000US0541000,197986,,,15500,,,,,36.6,82603,162000,44251,44251,37451,16640,05,41000
2015,"North Little Rock city, Arkansas",16000US0550450,66506,,,4860,,,,,33.6,25116,130700,39686,39686,23339,2787,05,50450
2015,"Springdale city, Arkansas",16000US0566080,80454,41311,1454,30200,1239,259,5227,0,31.8,26151,151000,48953,48953,15049,19969,05,66080
2015,"Alameda city, California",16000US0600562,78614,35134,6035,8265,23273,293,758,293,41.4,30710,738000,92225,92225,5651,18841,06,00562
2015,"Alhambra city, California",16000US0600884,85572,8607,1399,31386,43084,0,243,39,41,29362,562500,51641,51641,13546,44441,06,00884
