bioguide_id,full_name,party,office,state,district,senate_class,state_rank,terms_served,years_served,start_date,end_date,first_name,middle_name,last_name,birthdate,years_lived,gender,religion,thomas_id,govtrack_id,opensecrets_id,lis_id,votesmart_id,cspan_id,icpsr_id,fec_ids,latest_fec_id,updated_at
A000001,Fred George Aandahl,Republican,rep,ND,0,,,0,,1951-01-03 00:00:00,1953-01-03 00:00:00,Fred,George,Aandahl,1897-04-09,119.6,M,,,400664,,,,,1,,,2016-10-13T15:13:41.622088
A000002,Watkins Moorman Abbitt,Democrat,rep,VA,4,,,22,525.31,1947-01-03 00:00:00,1973-01-03 00:00:00,Watkins,Moorman,Abbitt,1908-05-21,108.5,M,,,400665,,,,,2,,,2016-10-13T15:13:41.622088
A000003,Joel Abbott,Republican,rep,GA,-1,,,4,388.49,1817-12-01 00:00:00,1825-03-03 00:00:00,Joel,,Abbott,1776-03-17,240.7,M,,,400668,,,,,5,,,2016-10-13T15:13:41.622088
A000004,Amos Abbott,Whig,rep,MA,3,,,2,170.21,1843-12-04 00:00:00,1849-03-03 00:00:00,Amos,,Abbott,1786-09-10,230.2,M,,,400666,,,,,3,,,2016-10-13T15:13:41.622088
A000005,Jo Abbott,Democrat,rep,TX,6,,,6,366.57,1887-12-05 00:00:00,1897-03-03 00:00:00,Jo,,Abbott,1840-01-15,176.9,M,,,400667,,,,,4,,,2016-10-13T15:13:41.622088
A000006,Joseph Carter Abbott,Republican,sen,NC,,2,,0,,1868-01-01 00:00:00,1871-03-03 00:00:00,Joseph,Carter,Abbott,1825-07-15,191.4,M,,,400669,,,,,6,,,2016-10-13T15:13:41.622088
A000007,Josiah Gardner Abbott,Democrat,rep,MA,4,,,0,,1875-12-06 00:00:00,1877-03-03 00:00:00,Josiah,Gardner,Abbott,1814-11-01,202.1,M,,,400670,,,,,7,,,2016-10-13T15:13:41.622088
A000008,Nehemiah Abbott,Republican,rep,ME,3,,,0,,1857-12-07 00:00:00,1859-03-03 00:00:00,Nehemiah,,Abbott,1804-03-29,212.7,M,,,400671,,,,,8,,,2016-10-13T15:13:41.622088
A000009,James Abdnor,Republican,sen,SD,,3,,6,113.35,1973-01-03 00:00:00,1987-01-03 00:00:00,James,,Abdnor,1923-02-13,93.7,M,,00001,400672,,,,,14000,,,2016-10-13T15:13:41.622088
A000010,Hazel Hempel Abel,Republican,sen,NE,,2,,0,,1954-01-01 00:00:00,1955-01-03 00:00:00,Hazel,Hempel,Abel,1888-07-10,128.3,F,,,400673,,,,,9,,,2016-10-13T15:13:41.622088
A000011,Homer E. Abele,Republican,rep,OH,10,,,0,,1963-01-09 00:00:00,1965-01-03 00:00:00,Homer,E.,Abele,1916-11-21,100.0,M,,,400674,,,,,10568,,,2016-10-13T15:13:41.622088
A000012,James Abercrombie,Whig,rep,AL,2,,,0,,1851-12-01 00:00:00,1855-03-03 00:00:00,James,,Abercrombie,,,M,,,400675,,,,,10,,,2016-10-13T15:13:41.622088
A000013,John William Abercrombie,Democrat,rep,AL,-1,,,0,,1913-04-07 00:00:00,1917-03-03 00:00:00,John,William,Abercrombie,1866-05-17,150.5,M,,,400676,,,,,11,,,2016-10-13T15:13:41.622088
A000014,Neil Abercrombie,Democrat,rep,HI,1,,,18,87.92,1985-01-03 00:00:00,2010-03-01 00:00:00,Neil,,Abercrombie,1938-06-26,78.4,M,,00002,400001,N00007665,,26827,,15245,H6HI01121,H6HI01121,2016-10-13T15:13:41.622088
A000015,Charles Laban Abernethy,Democrat,rep,NC,3,,,10,425.78,1921-04-11 00:00:00,1935-01-03 00:00:00,Charles,Laban,Abernethy,1872-03-18,144.7,M,,,400677,,,,,12,,,2016-10-13T15:13:41.622088
