year,state,name,total_babies,primary_sex,primary_sex_ratio,per_100k_in_state
2015,US,Noah,19648,M,99.3,535.6
2015,US,Liam,18302,M,99.9,498.9
2015,US,Mason,16626,M,99.5,453.2
2015,US,Jacob,15838,M,99.9,431.8
2015,US,William,15824,M,99.9,431.4
2015,US,Ethan,15008,M,99.9,409.1
2015,US,James,14743,M,99.7,401.9
2015,US,Alexander,14482,M,99.8,394.8
2015,US,Michael,14357,M,99.7,391.4
2015,US,Logan,13689,M,94,373.2
2015,US,Benjamin,13626,M,99.9,371.5
2015,US,Elijah,13537,M,99.8,369
2015,US,Aiden,13438,M,99.6,366.3
2015,US,Daniel,13426,M,99.9,366
2015,US,Matthew,12663,M,99.9,345.2
2015,US,Lucas,12262,M,99.9,334.3
2015,US,Jackson,12206,M,99.8,332.8
2015,US,Jayden,11908,M,96.4,324.6
2015,US,David,11709,M,99.8,319.2
2015,US,Oliver,11612,M,99.8,316.6
2015,US,Joseph,11386,M,99.9,310.4
2015,US,Carter,11306,M,94.9,308.2
2015,US,Dylan,11043,M,92.7,301
2015,US,Gabriel,10834,M,99.5,295.4
2015,US,Samuel,10745,M,99.9,292.9
2015,US,Anthony,10575,M,99.9,288.3
2015,US,John,10314,M,99.9,281.2
2015,US,Luke,10227,M,99.9,278.8
2015,US,Henry,10121,M,99.9,275.9
2015,US,Andrew,10036,M,99.9,273.6
2015,US,Isaac,9890,M,99.9,269.6
2015,US,Christopher,9757,M,99.8,266
2015,US,Joshua,9736,M,99.8,265.4
2015,US,Wyatt,9660,M,99.3,263.3
2015,US,Sebastian,9589,M,99.8,261.4
2015,US,Owen,9567,M,99.8,260.8
2015,US,Ryan,9148,M,92.6,249.4
2015,US,Caleb,8738,M,99.9,238.2
2015,US,Hunter,8640,M,95.9,235.5
2015,US,Nathan,8538,M,99.9,232.8
2015,US,Jack,8462,M,99.9,230.7
2015,US,Levi,8294,M,99.3,226.1
2015,US,Christian,8251,M,98.5,224.9
2015,US,Jaxon,8037,M,99.7,219.1
2015,US,Julian,8029,M,99.7,218.9
2015,US,Grayson,8020,M,97.9,218.6
2015,US,Landon,7928,M,99.6,216.1
2015,US,Jonathan,7588,M,99.9,206.9
2015,US,Isaiah,7546,M,99.8,205.7
2015,US,Jordan,7463,M,83.8,203.5
2015,US,Cameron,7298,M,92,199
2015,US,Angel,7161,M,84.6,195.2
2015,US,Charles,7134,M,99.9,194.5
2015,US,Thomas,7133,M,99.9,194.5
2015,US,Aaron,7131,M,99.7,194.4
2015,US,Eli,7114,M,99.6,193.9
2015,US,Parker,6822,M,78.9,186
2015,US,Connor,6750,M,99.7,184
2015,US,Jeremiah,6733,M,99.9,183.6
2015,US,Josiah,6620,M,99.8,180.5
2015,US,Adrian,6572,M,98.7,179.2
2015,US,Colton,6278,M,99.9,171.1
2015,US,Brayden,6235,M,99.8,170
2015,US,Nicholas,6201,M,99.9,169
2015,US,Hudson,6122,M,98.1,166.9
2015,US,Lincoln,6116,M,97.4,166.7
2015,US,Robert,6084,M,99.9,165.9
2015,US,Evan,5960,M,98.4,162.5
2015,US,Austin,5918,M,97.4,161.3
2015,US,Dominic,5829,M,99.7,158.9
2015,US,Gavin,5746,M,99.9,156.6
2015,US,Nolan,5731,M,99.7,156.2
2015,US,Sawyer,5462,M,77.7,148.9
2015,US,Chase,5402,M,98.9,147.3
2015,US,Adam,5366,M,99.9,146.3
2015,US,Cooper,5348,M,97.9,145.8
2015,US,Jace,5346,M,99.3,145.7
2015,US,Tyler,5333,M,96.2,145.4
2015,US,Ian,5301,M,99.8,144.5
2015,US,Easton,5271,M,98.6,143.7
2015,US,Kevin,5170,M,99.7,140.9
2015,US,Jose,5157,M,99.8,140.6
2015,US,Asher,5133,M,98.6,139.9
2015,US,Brandon,5093,M,99.8,138.8
2015,US,Jaxson,5038,M,99.8,137.3
2015,US,Mateo,4993,M,99.9,136.1
2015,US,Jason,4974,M,99.9,135.6
2015,US,Blake,4959,M,84.9,135.2
2015,US,Ayden,4933,M,98.6,134.5
2015,US,Carson,4900,M,96.4,133.6
2015,US,Zachary,4814,M,99.9,131.2
2015,US,Xavier,4610,M,99.9,125.7
2015,US,Leo,4572,M,99.8,124.6
2015,US,Kayden,4529,M,93.1,123.5
2015,US,Ezra,4504,M,95.4,122.8
2015,US,Bentley,4470,M,95.9,121.9
2015,US,Hayden,4415,M,61.4,120.4
2015,US,Ryder,4263,M,96.9,116.2
2015,US,Nathaniel,4176,M,100,113.8
2015,US,Theodore,4111,M,100,112.1
2015,US,Elias,4072,M,99.8,111
2015,US,Micah,4034,M,91.7,110
2015,US,Tristan,3964,M,98,108.1
2015,US,Roman,3887,M,99.4,106
2015,US,Camden,3887,M,96.5,106
2015,US,Leonardo,3810,M,100,103.9
2015,US,Brody,3740,M,99.5,102
2015,US,Luis,3718,M,100,101.4
2015,US,Miles,3711,M,99.7,101.2
2015,US,Vincent,3703,M,99.8,100.9
2015,US,Justin,3698,M,99.9,100.8
2015,US,Greyson,3623,M,98.8,98.8
2015,US,Declan,3581,M,99.4,97.6
2015,US,Maxwell,3559,M,98.9,97
2015,US,Juan,3517,M,99.8,95.9
2015,US,Cole,3489,M,99.6,95.1
2015,US,Damian,3474,M,100,94.7
