state,year,name,sex,count,rank_within_sex,per_100k_within_sex
AK,2015,Olivia,F,56,1,2367.9
AK,2015,Liam,M,53,1,1590.6
AK,2015,Emma,F,49,2,2071.9
AK,2015,Noah,M,46,2,1380.6
AK,2015,Aurora,F,46,3,1945.0
AK,2015,James,M,45,3,1350.5
AK,2015,Amelia,F,39,4,1649.0
AK,2015,Ava,F,39,4,1649.0
AK,2015,William,M,44,4,1320.5
AK,2015,Oliver,M,41,5,1230.5
AK,2015,Abigail,F,34,6,1437.6
AK,2015,Joseph,M,39,6,1170.5
AK,2015,Owen,M,39,6,1170.5
AK,2015,Harper,F,29,7,1226.2
AK,2015,Sophia,F,28,8,1183.9
AK,2015,Gabriel,M,38,8,1140.5
AK,2015,Elizabeth,F,27,9,1141.6
AK,2015,Alexander,M,37,9,1110.4
AK,2015,Michael,M,37,9,1110.4
AK,2015,Wyatt,M,37,9,1110.4
AK,2015,Emily,F,26,10,1099.4
AK,2015,Evelyn,F,26,10,1099.4
AK,2015,Hazel,F,26,10,1099.4
AK,2015,Madison,F,26,10,1099.4
AK,2015,Jackson,M,36,12,1080.4
AK,2015,Jacob,M,36,12,1080.4
AK,2015,Lillian,F,25,14,1057.1
AK,2015,Scarlett,F,25,14,1057.1
AK,2015,Benjamin,M,34,14,1020.4
AK,2015,Logan,M,34,14,1020.4
AK,2015,Samuel,M,34,14,1020.4
AK,2015,Charlotte,F,24,16,1014.8
AK,2015,Chloe,F,24,16,1014.8
AK,2015,Daniel,M,33,17,990.4
AK,2015,Mason,M,33,17,990.4
AK,2015,Audrey,F,23,18,972.5
AK,2015,Riley,F,23,18,972.5
AK,2015,Aiden,M,32,19,960.4
AK,2015,Elijah,M,32,19,960.4
AK,2015,Brooklyn,F,22,20,930.2
AK,2015,Lily,F,22,20,930.2
AK,2015,Mia,F,22,20,930.2
AK,2015,Carter,M,31,21,930.4
AK,2015,David,M,31,21,930.4
AK,2015,Jack,M,31,21,930.4
AK,2015,Aria,F,21,23,887.9
AK,2015,Sadie,F,21,23,887.9
AK,2015,Isaiah,M,29,24,870.3
AK,2015,Lucas,M,29,24,870.3
AK,2015,Grace,F,20,25,845.7
AK,2015,Piper,F,19,26,803.4
AK,2015,Luke,M,28,26,840.3
AK,2015,Autumn,F,18,27,761.1
AK,2015,Avery,F,18,27,761.1
AK,2015,Violet,F,18,27,761.1
AK,2015,Zoey,F,18,27,761.1
AK,2015,Landon,M,26,27,780.3
AK,2015,Matthew,M,26,27,780.3
AK,2015,Caleb,M,25,29,750.3
AK,2015,Hunter,M,25,29,750.3
AK,2015,John,M,25,29,750.3
AK,2015,Josiah,M,25,29,750.3
AK,2015,Hannah,F,17,31,718.8
AK,2015,Ruby,F,17,31,718.8
AK,2015,Stella,F,17,31,718.8
AK,2015,Willow,F,17,31,718.8
AK,2015,Asher,M,24,33,720.3
AK,2015,Charles,M,24,33,720.3
AK,2015,Thomas,M,24,33,720.3
AK,2015,Addison,F,16,35,676.5
AK,2015,Allison,F,16,35,676.5
AK,2015,Sofia,F,16,35,676.5
AK,2015,Victoria,F,16,35,676.5
AK,2015,Christopher,M,23,36,690.3
AK,2015,Connor,M,23,36,690.3
AK,2015,Isaac,M,23,36,690.3
AK,2015,Alice,F,15,39,634.2
AK,2015,Isabella,F,15,39,634.2
AK,2015,Layla,F,15,39,634.2
AK,2015,Taylor,F,15,39,634.2
AK,2015,Colton,M,22,39,660.3
AK,2015,Ezra,M,22,39,660.3
AK,2015,Henry,M,22,39,660.3
AK,2015,Lincoln,M,22,39,660.3
AK,2015,Caroline,F,14,43,592.0
AK,2015,Cora,F,14,43,592.0
AK,2015,Eleanor,F,14,43,592.0
AK,2015,Penelope,F,14,43,592.0
AK,2015,Savannah,F,14,43,592.0
AK,2015,Ethan,M,21,43,630.3
AK,2015,Evan,M,21,43,630.3
AK,2015,Joshua,M,21,43,630.3
AK,2015,Levi,M,21,43,630.3
AK,2015,Robert,M,21,43,630.3
AK,2015,Alexis,F,13,48,549.7
AK,2015,Clara,F,13,48,549.7
AK,2015,Ella,F,13,48,549.7
AK,2015,Everly,F,13,48,549.7
AK,2015,Gabriella,F,13,48,549.7
AK,2015,Jade,F,13,48,549.7
AK,2015,Naomi,F,13,48,549.7
AK,2015,Rylee,F,13,48,549.7
AK,2015,Anthony,M,20,48,600.2
AK,2015,Elias,M,20,48,600.2
AK,2015,Nolan,M,20,48,600.2
AK,2015,Andrew,M,19,51,570.2
AK,2015,Ryder,M,19,51,570.2
AK,2015,Aaron,M,18,53,540.2
AK,2015,Ezekiel,M,18,53,540.2
AK,2015,Gavin,M,18,53,540.2
AK,2015,Parker,M,18,53,540.2
AK,2015,Ryker,M,18,53,540.2
AK,2015,Adeline,F,12,56,507.4
AK,2015,Anna,F,12,56,507.4
AK,2015,Ariana,F,12,56,507.4
AK,2015,Athena,F,12,56,507.4
AK,2015,Aubrey,F,12,56,507.4
AK,2015,Genevieve,F,12,56,507.4
AK,2015,Liliana,F,12,56,507.4
AK,2015,Lucy,F,12,56,507.4
AK,2015,Maya,F,12,56,507.4
AK,2015,Natalie,F,12,56,507.4
AK,2015,Nevaeh,F,12,56,507.4
AK,2015,Peyton,F,12,56,507.4
AK,2015,Dylan,M,17,58,510.2
AK,2015,Greyson,M,17,58,510.2
AK,2015,Ryan,M,17,58,510.2
AK,2015,Theodore,M,17,58,510.2
AK,2015,Adrian,M,16,62,480.2
AK,2015,Cole,M,16,62,480.2
AK,2015,Emmett,M,16,62,480.2
AK,2015,Jaxson,M,16,62,480.2
AK,2015,Jayden,M,16,62,480.2
AK,2015,Jeremiah,M,16,62,480.2
AK,2015,Paul,M,16,62,480.2
AK,2015,Tyler,M,16,62,480.2
AK,2015,Annabelle,F,11,68,465.1
AK,2015,Jasmine,F,11,68,465.1
AK,2015,Kaylee,F,11,68,465.1
AK,2015,Kennedy,F,11,68,465.1
AK,2015,Lydia,F,11,68,465.1
AK,2015,Rachel,F,11,68,465.1
AK,2015,Sarah,F,11,68,465.1
AK,2015,Easton,M,15,70,450.2
AK,2015,Hudson,M,15,70,450.2
AK,2015,Jaxon,M,15,70,450.2
AK,2015,Kai,M,15,70,450.2
AK,2015,Sawyer,M,15,70,450.2
AK,2015,Timothy,M,15,70,450.2
AK,2015,Zachary,M,15,70,450.2
AK,2015,Aaliyah,F,10,75,422.8
AK,2015,Bailey,F,10,75,422.8
AK,2015,Cassidy,F,10,75,422.8
AK,2015,Claire,F,10,75,422.8
AK,2015,Delilah,F,10,75,422.8
AK,2015,Josephine,F,10,75,422.8
AK,2015,Kinley,F,10,75,422.8
AK,2015,Lyla,F,10,75,422.8
AK,2015,Nora,F,10,75,422.8
AK,2015,Serenity,F,10,75,422.8
AK,2015,Blake,M,14,77,420.2
AK,2015,Brody,M,14,77,420.2
AK,2015,Cooper,M,14,77,420.2
AK,2015,Grayson,M,14,77,420.2
AK,2015,Mark,M,14,77,420.2
AK,2015,Nicholas,M,14,77,420.2
AK,2015,Vincent,M,14,77,420.2
AK,2015,Bradley,M,13,84,390.2
AK,2015,Chase,M,13,84,390.2
AK,2015,Everett,M,13,84,390.2
AK,2015,Jonah,M,13,84,390.2
AK,2015,Maximus,M,13,84,390.2
AK,2015,Miles,M,13,84,390.2
AK,2015,Simon,M,13,84,390.2
AK,2015,Tristan,M,13,84,390.2
AK,2015,Wesley,M,13,84,390.2
AK,2015,Alana,F,9,85,380.5
AK,2015,Arianna,F,9,85,380.5
AK,2015,Ariel,F,9,85,380.5
AK,2015,Finley,F,9,85,380.5
AK,2015,Hailey,F,9,85,380.5
AK,2015,Juniper,F,9,85,380.5
AK,2015,Khloe,F,9,85,380.5
AK,2015,Sage,F,9,85,380.5
AK,2015,Samantha,F,9,85,380.5
AK,2015,Summer,F,9,85,380.5
AK,2015,Brayden,M,12,93,360.1
AK,2015,Carson,M,12,93,360.1
AK,2015,Christian,M,12,93,360.1
AK,2015,Jason,M,12,93,360.1
AK,2015,Julian,M,12,93,360.1
AK,2015,Justin,M,12,93,360.1
AK,2015,Micah,M,12,93,360.1
AK,2015,Alina,F,8,95,338.3
AK,2015,Anastasia,F,8,95,338.3
AK,2015,Brielle,F,8,95,338.3
AK,2015,Cheyenne,F,8,95,338.3
AK,2015,Dahlia,F,8,95,338.3
AK,2015,Denali,F,8,95,338.3
AK,2015,Elliana,F,8,95,338.3
AK,2015,Ellie,F,8,95,338.3
AK,2015,Faith,F,8,95,338.3
AK,2015,Felicity,F,8,95,338.3
AK,2015,Isla,F,8,95,338.3
AK,2015,Keira,F,8,95,338.3
AK,2015,Lacey,F,8,95,338.3
AK,2015,Madelyn,F,8,95,338.3
AK,2015,Makayla,F,8,95,338.3
AK,2015,Mary,F,8,95,338.3
AK,2015,Mckinley,F,8,95,338.3
AK,2015,Melody,F,8,95,338.3
AK,2015,Quinn,F,8,95,338.3
AK,2015,Axel,M,11,100,330.1
AK,2015,Calvin,M,11,100,330.1
AK,2015,Dominic,M,11,100,330.1
AK,2015,Edward,M,11,100,330.1
AK,2015,Eli,M,11,100,330.1
AK,2015,Elliot,M,11,100,330.1
AK,2015,Leo,M,11,100,330.1
AK,2015,Nathan,M,11,100,330.1
AK,2015,Peter,M,11,100,330.1
AK,2015,Preston,M,11,100,330.1
AK,2015,Sebastian,M,11,100,330.1
AK,2015,Silas,M,11,100,330.1
AK,2015,Abel,M,10,112,300.1
AK,2015,Cameron,M,10,112,300.1
AK,2015,Damien,M,10,112,300.1
AK,2015,Elliott,M,10,112,300.1
AK,2015,Finn,M,10,112,300.1
AK,2015,Gideon,M,10,112,300.1
AK,2015,Ian,M,10,112,300.1
AK,2015,Jordan,M,10,112,300.1
AK,2015,Judah,M,10,112,300.1
AK,2015,Killian,M,10,112,300.1
AK,2015,Kyle,M,10,112,300.1
AK,2015,Nathaniel,M,10,112,300.1
AK,2015,Paxson,M,10,112,300.1
AK,2015,Riley,M,10,112,300.1
AK,2015,Ronan,M,10,112,300.1
AK,2015,Tanner,M,10,112,300.1
AK,2015,Walter,M,10,112,300.1
AK,2015,Weston,M,10,112,300.1
AK,2015,Adalyn,F,7,114,296.0
AK,2015,Adalynn,F,7,114,296.0
AK,2015,Alexandra,F,7,114,296.0
AK,2015,Bella,F,7,114,296.0
AK,2015,Elsa,F,7,114,296.0
AK,2015,Emilia,F,7,114,296.0
AK,2015,Emmalyn,F,7,114,296.0
AK,2015,Esther,F,7,114,296.0
AK,2015,Gracie,F,7,114,296.0
AK,2015,Isabelle,F,7,114,296.0
AK,2015,Ivy,F,7,114,296.0
AK,2015,Kendall,F,7,114,296.0
AK,2015,Lauren,F,7,114,296.0
AK,2015,Leilani,F,7,114,296.0
AK,2015,Madilyn,F,7,114,296.0
AK,2015,Margaret,F,7,114,296.0
AK,2015,Mila,F,7,114,296.0
AK,2015,Zoe,F,7,114,296.0
AK,2015,Aidan,M,9,130,270.1
AK,2015,Alex,M,9,130,270.1
AK,2015,Bennett,M,9,130,270.1
AK,2015,Camden,M,9,130,270.1
AK,2015,Dean,M,9,130,270.1
AK,2015,Gage,M,9,130,270.1
AK,2015,Ivan,M,9,130,270.1
AK,2015,Jace,M,9,130,270.1
AK,2015,Jeremy,M,9,130,270.1
AK,2015,Maxwell,M,9,130,270.1
AK,2015,Orion,M,9,130,270.1
AK,2015,Skyler,M,9,130,270.1
AK,2015,Soren,M,9,130,270.1
AK,2015,Tobias,M,9,130,270.1
AK,2015,Xander,M,9,130,270.1
AK,2015,Adelynn,F,6,132,253.7
AK,2015,Alivia,F,6,132,253.7
AK,2015,Ashlynn,F,6,132,253.7
AK,2015,Aubree,F,6,132,253.7
AK,2015,Brianna,F,6,132,253.7
AK,2015,Brooke,F,6,132,253.7
AK,2015,Charlee,F,6,132,253.7
AK,2015,Charlie,F,6,132,253.7
AK,2015,Dakota,F,6,132,253.7
AK,2015,Danielle,F,6,132,253.7
AK,2015,Elena,F,6,132,253.7
AK,2015,Eliza,F,6,132,253.7
AK,2015,Evangeline,F,6,132,253.7
AK,2015,Hadley,F,6,132,253.7
AK,2015,Hayden,F,6,132,253.7
AK,2015,Iris,F,6,132,253.7
AK,2015,Jocelyn,F,6,132,253.7
AK,2015,Julia,F,6,132,253.7
AK,2015,Kathryn,F,6,132,253.7
AK,2015,Kinsley,F,6,132,253.7
AK,2015,Kylie,F,6,132,253.7
AK,2015,Lilah,F,6,132,253.7
AK,2015,Lola,F,6,132,253.7
AK,2015,Mackenzie,F,6,132,253.7
AK,2015,Madeline,F,6,132,253.7
AK,2015,Madelynn,F,6,132,253.7
AK,2015,Malia,F,6,132,253.7
AK,2015,Mallory,F,6,132,253.7
AK,2015,Mariah,F,6,132,253.7
AK,2015,Mckenzie,F,6,132,253.7
AK,2015,Nova,F,6,132,253.7
AK,2015,Olive,F,6,132,253.7
AK,2015,Paisley,F,6,132,253.7
AK,2015,Pearl,F,6,132,253.7
AK,2015,Phoebe,F,6,132,253.7
AK,2015,Phoenix,F,6,132,253.7
AK,2015,Rose,F,6,132,253.7
AK,2015,Ruth,F,6,132,253.7
AK,2015,Sienna,F,6,132,253.7
AK,2015,Skylar,F,6,132,253.7
AK,2015,Sylvia,F,6,132,253.7
AK,2015,Teagan,F,6,132,253.7
AK,2015,Tessa,F,6,132,253.7
AK,2015,Trinity,F,6,132,253.7
AK,2015,Vera,F,6,132,253.7
AK,2015,Vivian,F,6,132,253.7
AK,2015,Atlas,M,8,145,240.1
AK,2015,Atticus,M,8,145,240.1
AK,2015,August,M,8,145,240.1
AK,2015,Austin,M,8,145,240.1
AK,2015,Bentley,M,8,145,240.1
AK,2015,Corbin,M,8,145,240.1
AK,2015,Dallas,M,8,145,240.1
AK,2015,Declan,M,8,145,240.1
AK,2015,Gunnar,M,8,145,240.1
AK,2015,Jameson,M,8,145,240.1
AK,2015,Kayden,M,8,145,240.1
AK,2015,Maddox,M,8,145,240.1
AK,2015,Marcus,M,8,145,240.1
AK,2015,Myles,M,8,145,240.1
AK,2015,Patrick,M,8,145,240.1
AK,2015,Raymond,M,8,145,240.1
AK,2015,Rowan,M,8,145,240.1
AK,2015,Russell,M,8,145,240.1
AK,2015,Stephen,M,8,145,240.1
AK,2015,Steven,M,8,145,240.1
AK,2015,Ashton,M,7,165,210.1
AK,2015,Beckett,M,7,165,210.1
AK,2015,Brandon,M,7,165,210.1
AK,2015,Brooks,M,7,165,210.1
AK,2015,Bryce,M,7,165,210.1
AK,2015,Bryson,M,7,165,210.1
