year,name,sex,count,rank_within_sex,per_100k_within_sex
1980,Jennifer,F,58381,1,3516.8
1980,Jonathan,M,18992,21,1064.5
1980,Jenny,F,2645,116,159.3
1980,Jon,M,2180,127,122.2
1980,Jonathon,M,1431,171,80.2
1980,Jenna,F,1074,238,64.7
1980,Jennie,F,874,281,52.6
1980,Joni,F,757,318,45.6
1980,Jenifer,F,724,333,43.6
1980,Jonah,M,394,411,22.1
1980,Jonas,M,341,454,19.1
1980,Jennifer,M,210,599,11.8
1980,Jenelle,F,222,746,13.4
1980,Jena,F,205,796,12.3
1980,Jenni,F,170,893,10.2
1980,Jonpaul,M,56,1226,3.1
1980,Jonathan,F,104,1251,6.3
1980,Jonelle,F,97,1307,5.8
1980,Jonna,F,92,1363,5.5
1980,Jenell,F,90,1380,5.4
1980,Jenniffer,F,89,1395,5.4
1980,Jeni,F,78,1517,4.7
1980,Jeniffer,F,76,1541,4.6
1980,Jonmichael,M,35,1656,2.0
1980,Jenee,F,66,1704,4.0
1980,Jennette,F,66,1704,4.0
1980,Jens,M,33,1726,1.8
1980,Jenine,F,61,1785,3.7
1980,Jenise,F,61,1785,3.7
1980,Jensen,M,30,1849,1.7
1980,Jenae,F,58,1862,3.5
1980,Jenica,F,56,1904,3.4
1980,Jonthan,M,25,2112,1.4
1980,Jonie,F,47,2153,2.8
1980,Jonny,M,24,2160,1.3
1980,Jennelle,F,44,2246,2.7
1980,Jonathen,M,22,2279,1.2
1980,Jennell,F,41,2341,2.5
1980,Jonte,M,21,2364,1.2
1980,Jennefer,F,40,2390,2.4
1980,Jene,F,39,2440,2.3
1980,Jenny,M,18,2612,1.0
1980,Jona,F,34,2699,2.0
1980,Jennings,M,17,2721,1.0
1980,Jonothan,M,17,2721,1.0
1980,Jennine,F,33,2747,2.0
1980,Jonell,F,33,2747,2.0
1980,Jenessa,F,32,2799,1.9
1980,Jenette,F,32,2799,1.9
1980,Jonnie,M,16,2831,0.9
1980,Jenice,F,31,2864,1.9
1980,Jonnie,F,31,2864,1.9
1980,Jenaro,M,15,2966,0.8
1980,Jennica,F,29,2998,1.7
1980,Jennifier,F,28,3066,1.7
1980,Jonatan,M,14,3097,0.8
1980,Jonatha,M,14,3097,0.8
1980,Jones,M,14,3097,0.8
1980,Jonn,M,14,3097,0.8
1980,Jonita,F,25,3317,1.5
1980,Jenea,F,24,3408,1.4
1980,Joni,M,12,3427,0.7
1980,Jennafer,F,23,3506,1.4
1980,Jonnathan,M,11,3611,0.6
1980,Jennfier,F,20,3849,1.2
1980,Jonique,F,20,3849,1.2
1980,Jonni,F,20,3849,1.2
1980,Jeneen,F,19,3993,1.1
1980,Jenel,F,19,3993,1.1
1980,Jenson,M,9,4134,0.5
1980,Jontae,M,9,4134,0.5
1980,Jonus,M,9,4134,0.5
1980,Jennel,F,18,4148,1.1
1980,Jenai,F,17,4324,1.0
1980,Jenese,F,17,4324,1.0
1980,Jenita,F,17,4324,1.0
1980,Jennipher,F,17,4324,1.0
1980,Jonette,F,17,4324,1.0
1980,Jenay,F,16,4516,1.0
1980,Jeneva,F,16,4516,1.0
1980,Jennilyn,F,16,4516,1.0
1980,Jenevieve,F,15,4739,0.9
1980,Jeniece,F,15,4739,0.9
1980,Jonetta,F,15,4739,0.9
1980,Jonica,F,15,4739,0.9
1980,Jeno,M,7,4936,0.4
1980,Jonahtan,M,7,4936,0.4
1980,Jondavid,M,7,4936,0.4
1980,Jonell,M,7,4936,0.4
1980,Jenina,F,14,4976,0.8
1980,Jenene,F,13,5241,0.8
1980,Jenard,M,6,5520,0.3
1980,Jenner,M,6,5520,0.3
1980,Jennie,M,6,5520,0.3
1980,Jentry,M,6,5520,0.3
1980,Jonce,M,6,5520,0.3
1980,Jenniefer,F,12,5541,0.7
1980,Jennise,F,12,5541,0.7
1980,Jon,F,12,5541,0.7
1980,Jenean,F,11,5911,0.7
